,Position,Player,Salary,Opponent,AvgPointsPerGame,Team,PlayerID
232,WR,James Wright,3000,MIN@CLE 10/29/2017 09:30AM ET,0.0,CLE,
233,WR,Sammie Coates,3000,MIN@CLE 10/29/2017 09:30AM ET,0.42,CLE,00-0032166
234,WR,Kasen Williams,3000,MIN@CLE 10/29/2017 09:30AM ET,2.9,CLE,00-0032250
235,WR,Bryce Treggs,3000,MIN@CLE 10/29/2017 09:30AM ET,3.767,CLE,00-0032724
236,RB,Danny Vitale,3000,MIN@CLE 10/29/2017 09:30AM ET,0.5429999999999999,CLE,00-0032794
237,WR,Stacy Coley,3000,MIN@CLE 10/29/2017 09:30AM ET,0.0,MIN,00-0033968
238,WR,Rashard Higgins,3000,MIN@CLE 10/29/2017 09:30AM ET,4.5,CLE,00-0032977
239,RB,Matthew Dayes,3000,MIN@CLE 10/29/2017 09:30AM ET,0.5429999999999999,CLE,00-0033596
240,WR,Rodney Adams,3000,MIN@CLE 10/29/2017 09:30AM ET,0.0,MIN,00-0033957
241,RB,C.J. Ham,3000,MIN@CLE 10/29/2017 09:30AM ET,1.8,MIN,00-0032918
242,RB,Taiwan Jones,3000,OAK@BUF 10/29/2017 01:00PM ET,0.35,BUF,00-0028063
243,RB,Patrick DiMarco,3000,OAK@BUF 10/29/2017 01:00PM ET,0.217,BUF,00-0028581
244,WR,Walter Powell,3000,OAK@BUF 10/29/2017 01:00PM ET,0.0,BUF,
245,RB,Jamize Olawale,3000,OAK@BUF 10/29/2017 01:00PM ET,1.2,OAK,00-0029492
246,WR,Cordarrelle Patterson,3000,OAK@BUF 10/29/2017 01:00PM ET,5.943,OAK,00-0030578
247,WR,Johnny Holton,3000,OAK@BUF 10/29/2017 01:00PM ET,1.9140000000000001,OAK,00-0032935
248,WR,Kamar Aiken,3000,IND@CIN 10/29/2017 01:00PM ET,3.114,IND,00-0028497
249,RB,George Winn,3000,IND@CIN 10/29/2017 01:00PM ET,0.0,IND,00-0030247
250,TE,Tyler Kroft,3000,IND@CIN 10/29/2017 01:00PM ET,8.7,CIN,00-0032214
251,WR,Quan Bray,3000,IND@CIN 10/29/2017 01:00PM ET,0.986,IND,00-0031514
252,RB,Josh Ferguson,3000,IND@CIN 10/29/2017 01:00PM ET,0.5,IND,
