,Player,Position,Team,Opponent,FantasyFootball_FantasyPoints,PlayerID
36,Michael Crabtree,WR,OAK,@BUF,14.0,00-0026986
37,Michael Thomas,WR,NO,CHI,14.0,00-0032765
38,Dez Bryant,WR,DAL,@WAS,13.5,00-0027902
39,Devin Funchess,WR,CAR,@TB,13.5,00-0032055
40,Pierre Garcon,WR,SF,@PHI,13.5,00-0026345
41,DeAndre Hopkins,WR,HOU,@SEA,13.5,00-0030564
42,Jarvis Landry,WR,MIA,@BAL,13.5,00-0031382
43,Brandin Cooks,WR,NE,LAC,13.0,00-0031236
44,Chris Hogan,WR,NE,LAC,13.0,00-0028237
45,Marvin Jones,WR,DET,PIT,12.5,00-0029293
46,Robby Anderson,WR,NYJ,ATL,12.0,00-0032688
47,Alshon Jeffery,WR,PHI,SF,12.0,00-0029137
48,Nelson Agholor,WR,PHI,SF,10.5,00-0031549
49,Danny Amendola,WR,NE,LAC,7.0,00-0026035
50,Amari Cooper,WR,OAK,@BUF,7.0,00-0031544
51,Will Fuller,WR,HOU,@SEA,6.5,00-0033127
52,Tyreek Hill,WR,KC,DEN,6.5,00-0033040
53,Josh Doctson,WR,WAS,DAL,6.0,00-0032760
54,DeSean Jackson,WR,TB,CAR,5.5,00-0026189
55,Tyrell Williams,WR,LAC,@NE,5.5,00-0032160
56,Ted Ginn Jr.,WR,NO,CHI,5.0,00-0025396
57,Marquise Goodwin,WR,SF,@PHI,5.0,00-0030068
58,Mohamed Sanu,WR,ATL,@NYJ,5.0,00-0029632
59,Jamison Crowder,WR,WAS,DAL,4.5,00-0031941
60,Kenny Golladay,WR,DET,PIT,4.5,00-0033932
61,Adam Humphries,WR,TB,CAR,4.5,00-0032009
62,T.J. Jones,WR,DET,PIT,4.5,00-0031189
63,Jermaine Kearse,WR,NYJ,ATL,4.5,00-0029159
64,Brandon LaFell,WR,CIN,IND,4.5,00-0027681
65,DeVante Parker,WR,MIA,@BAL,4.5,00-0031547
66,JuJu Smith-Schuster,WR,PIT,@DET,4.5,00-0033857
67,Deonte Thompson,WR,BUF,OAK,4.5,
68,Bennie Fowler,WR,DEN,@KC,4.0,00-0030670
69,Tyler Lockett,WR,SEA,HOU,4.0,00-0032211
70,Jeremy Maclin,WR,BAL,MIA,4.0,00-0026995
