,Player,Position,Team,Opponent,FantasyData_FantasyPoints,PlayerID
89,TJ Jones,WR,DET,PIT,6.9,00-0031189
90,Jordan Matthews,WR,BUF,OAK,6.73,00-0031299
91,Adam Humphries,WR,TB,CAR,6.69,00-0032009
92,Donte Moncrief,WR,IND,CIN,6.66,00-0031339
93,Cole Beasley,WR,DAL,WAS,6.6,00-0029000
94,Willie Snead,WR,NO,CHI,6.64,00-0030663
95,Ricardo Louis,WR,CLE,MIN,6.45,00-0033079
96,Travis Kelce,TE,KC,DEN,10.51,00-0030506
97,Jordan Reed,TE,WAS,DAL,9.52,00-0030472
98,Hunter Henry,TE,LAC,NE,9.55,00-0033090
99,Jimmy Graham,TE,SEA,HOU,8.9,00-0027696
100,Austin Seferian-Jenkins,TE,NYJ,ATL,8.36,00-0031418
101,Jason Witten,TE,DAL,WAS,8.15,00-0022127
102,Kyle Rudolph,TE,MIN,CLE,7.82,00-0027981
103,Cameron Brate,TE,TB,CAR,7.84,00-0031273
104,Jared Cook,TE,OAK,BUF,7.66,00-0027061
105,Jack Doyle,TE,IND,CIN,6.75,00-0030181
106,Tyler Kroft,TE,CIN,IND,7.11,00-0032214
107,Zach Miller,TE,CHI,NO,7.15,00-0027125
108,Ed Dickson,TE,CAR,TB,6.69,00-0027675
109,Austin Hooper,TE,ATL,NYJ,6.37,00-0032392
110,Benjamin Watson,TE,BAL,MIA,5.96,00-0022943
111,George Kittle,TE,SF,PHI,5.91,00-0033288
112,Vernon Davis,TE,WAS,DAL,5.92,00-0024221
113,Ryan Griffin,TE,HOU,SEA,5.7,00-0030108
114,Nick O'Leary,TE,BUF,OAK,5.59,00-0032117
115,Julius Thomas,TE,MIA,BAL,5.32,00-0028067
116,Eric Ebron,TE,DET,PIT,5.31,00-0031387
117,Coby Fleener,TE,NO,CHI,5.41,00-0029697
118,AJ Derby,TE,DEN,KC,4.73,00-0031609
119,David Njoku,TE,CLE,MIN,4.93,00-0033885
120,OJ Howard,TE,TB,CAR,4.94,00-0033879
121,Jesse James,TE,PIT,DET,4.64,00-0032135
122,Stephen Anderson,TE,HOU,SEA,4.15,00-0032725
123,Darren Fells,TE,DET,PIT,4.15,00-0029738
124,Antonio Gates,TE,LAC,NE,4.0,00-0021547
125,Dion Sims,TE,CHI,NO,3.82,00-0030422
126,Seth DeValve,TE,CLE,MIN,3.47,00-0033080
127,Virgil Green,TE,DEN,KC,3.25,00-0028142
128,Vance McDonald,TE,PIT,DET,2.96,00-0030470
129,Nick Boyle,TE,BAL,MIA,2.44,00-0031598
130,Luke Willson,TE,SEA,HOU,2.37,00-0030089
131,Demetrius Harris,TE,KC,DEN,2.22,00-0030155
132,Trey Burton,TE,PHI,SF,2.26,00-0030710
133,Michael Hoomanawanui,TE,NO,CHI,1.82,00-0027732
134,Maxx Williams,TE,BAL,MIA,1.67,00-0031558
135,Eric Tomlinson,TE,NYJ,ATL,1.69,00-0031690
136,Josh Hill,TE,NO,CHI,1.42,00-0030216
137,Jeff Heuerman,TE,DEN,KC,1.17,00-0032227
138,Garrett Celek,TE,SF,PHI,1.03,00-0028903
139,James Hanna,TE,DAL,WAS,0.94,00-0029634
140,Brent Celek,TE,PHI,SF,0.82,00-0025549
141,CJ Uzomah,TE,CIN,IND,0.8,00-0032134
142,Jordan Leggett,TE,NYJ,ATL,0.77,00-0033953
143,Levine Toilolo,TE,ATL,NYJ,0.64,00-0030443
144,Ezekiel Elliott,RB,DAL,WAS,16.87,00-0033045
145,Melvin Gordon,RB,LAC,NE,15.04,00-0032144
146,Kareem Hunt,RB,KC,DEN,14.78,00-0033923
147,Mark Ingram,RB,NO,CHI,14.59,00-0027966
148,Devonta Freeman,RB,ATL,NYJ,13.87,00-0031285
149,Christian McCaffrey,RB,CAR,TB,11.65,00-0033280
150,Jay Ajayi,RB,MIA,BAL,13.15,00-0031590
151,Alvin Kamara,RB,NO,CHI,11.78,00-0033906
152,Jordan Howard,RB,CHI,NO,13.0,00-0032780
153,Joe Mixon,RB,CIN,IND,12.28,00-0033897
154,Carlos Hyde,RB,SF,PHI,11.02,00-0031045
155,Jerick McKinnon,RB,MIN,CLE,11.03,00-0031376
156,Chris Thompson,RB,WAS,DAL,10.47,00-0030404
157,Lamar Miller,RB,HOU,SEA,10.84,00-0029615
158,Doug Martin,RB,TB,CAR,11.02,00-0029613
159,Javorius Allen,RB,BAL,MIA,10.0,00-0031577
160,Tevin Coleman,RB,ATL,NYJ,9.62,00-0032058
161,Ameer Abdullah,RB,DET,PIT,9.85,00-0032104
162,Wendell Smallwood,RB,PHI,SF,9.31,00-0032782
163,Bilal Powell,RB,NYJ,ATL,8.98,00-0028064
164,Deandre Washington,RB,OAK,BUF,9.16,00-0032940
165,Matt Forte,RB,NYJ,ATL,8.71,00-0026184
166,James White,RB,NE,LAC,8.35,00-0031062
167,Theo Riddick,RB,DET,PIT,8.19,00-0030107
168,Duke Johnson,RB,CLE,MIN,8.1,00-0032257
169,CJ Anderson,RB,DEN,KC,9.29,00-0029854
170,Jalen Richard,RB,OAK,BUF,8.86,00-0033025
171,Latavius Murray,RB,MIN,CLE,8.5,00-0030513
172,Jonathan Stewart,RB,CAR,TB,8.84,00-0026153
173,LeGarrette Blount,RB,PHI,SF,8.95,00-0027325
174,Frank Gore,RB,IND,CIN,8.22,00-0023500
175,Tarik Cohen,RB,CHI,NO,7.34,00-0033556
176,Rob Kelley,RB,WAS,DAL,8.56,00-0032371
177,Isaiah Crowell,RB,CLE,MIN,7.59,00-0030656
178,Dion Lewis,RB,NE,LAC,7.86,00-0028087
179,Alex Collins,RB,BAL,MIA,7.5,00-0032426
180,Austin Ekeler,RB,LAC,NE,6.3,00-0033699
181,Giovani Bernard,RB,CIN,IND,6.39,00-0030456
182,Marlon Mack,RB,IND,CIN,6.17,00-0033951
183,Thomas Rawls,RB,SEA,HOU,5.99,00-0031897
184,Eddie Lacy,RB,SEA,HOU,5.62,00-0030485
185,Jamaal Charles,RB,DEN,KC,5.19,00-0026213
186,Mike Gillislee,RB,NE,LAC,5.83,00-0030433
187,Charles Sims,RB,TB,CAR,4.13,00-0031390
188,Rex Burkhead,RB,NE,LAC,4.9,00-0030288
189,JD McKissic,RB,SEA,HOU,4.6,00-0032602
190,Devontae Booker,RB,DEN,KC,4.34,00-0032972
191,Mike Tolbert,FB,BUF,OAK,4.96,00-0026069
192,Wil Lutz,K,NO,CHI,9.0,00-0032569
193,Steven Hauschka,K,BUF,OAK,8.7,00-0025944
194,Randy Bullock,K,CIN,IND,8.7,00-0029421
195,Harrison Butker,K,KC,DEN,8.5,00-0033303
196,Matt Bryant,K,ATL,NYJ,8.2,00-0020578
197,Blair Walsh,K,SEA,HOU,8.1,00-0029576
198,Chris Boswell,K,PIT,DET,8.1,00-0031136
199,Justin Tucker,K,BAL,MIA,8.0,00-0029597
200,Kai Forbath,K,MIN,CLE,7.9,00-0028787
201,Graham Gano,K,CAR,TB,7.7,00-0026858
202,Nick Rose,K,WAS,DAL,7.4,
203,Mike Nugent,K,DAL,WAS,7.3,
204,Matt Prater,K,DET,PIT,7.1,00-0023853
205,Patrick Murray,K,TB,CAR,6.8,00-0030626
206,Brandon McManus,K,DEN,KC,6.7,00-0029822
207,Nick Novak,K,LAC,NE,6.4,00-0023096
208,Ka'imi Fairbairn,K,HOU,SEA,6.3,00-0032726
209,Adam Vinatieri,K,IND,CIN,6.2,00-0016919
210,Chandler Catanzaro,K,NYJ,ATL,6.2,00-0030896
211,Robbie Gould,K,SF,PHI,6.2,00-0023252
212,Giorgio Tavecchio,K,OAK,BUF,5.6,00-0028907
213,Connor Barth,K,CHI,NO,5.3,00-0026138
214,Cody Parkey,K,MIA,BAL,4.9,00-0030850
215,Zane Gonzalez,K,CLE,MIN,4.1,00-0033862
216,Sebastian Janikowski,K,OAK,BUF,0.0,00-0019646
217,Caleb Sturgis,K,PHI,SF,0.0,00-0030390
218,Nick Folk,K,TB,CAR,0.0,00-0025565
219,Dan Bailey,K,DAL,WAS,0.0,00-0028660
220,Dustin Hopkins,K,WAS,DAL,0.0,00-0030098
