Player,Position,Team,Opponent,FantasyData_FantasyPoints
Steven Hauschka,K,BUF,OAK,8.70
Randy Bullock,K,CIN,IND,8.70
Harrison Butker,K,KC,DEN,8.50
Matt Bryant,K,ATL,NYJ,8.20
Blair Walsh,K,SEA,HOU,8.10
Chris Boswell,K,PIT,DET,8.10
Justin Tucker,K,BAL,MIA,8.00
Kai Forbath,K,MIN,CLE,7.90
Graham Gano,K,CAR,TB,7.70
Nick Rose,K,WAS,DAL,7.40
Mike Nugent,K,DAL,WAS,7.30
Matt Prater,K,DET,PIT,7.10
Patrick Murray,K,TB,CAR,6.80
Brandon McManus,K,DEN,KC,6.70
Nick Novak,K,LAC,NE,6.40
Ka'imi Fairbairn,K,HOU,SEA,6.30
Adam Vinatieri,K,IND,CIN,6.20
Chandler Catanzaro,K,NYJ,ATL,6.20
Robbie Gould,K,SF,PHI,6.20
Giorgio Tavecchio,K,OAK,BUF,5.60
Connor Barth,K,CHI,NO,5.30
Cody Parkey,K,MIA,BAL,4.90
Zane Gonzalez,K,CLE,MIN,4.10
Sebastian Janikowski,K,OAK,BUF,0.00
Caleb Sturgis,K,PHI,SF,0.00
Nick Folk,K,TB,CAR,0.00
Dan Bailey,K,DAL,WAS,0.00
Dustin Hopkins,K,WAS,DAL,0.00
