Player,Position,Team,Opponent,ESPN_FantasyPoints
Trey Edmunds,RB,NO,Chi,0.2
Travis Rudolph,WR,NYG,** BYE **,--
Kerwynn Williams,RB,ARI,** BYE **,--
Marqise Lee,WR,JAX,** BYE **,--
Kenjon Barner,RB,PHI,SF,0.1
Derek Watt,RB,LAC,NE,0.1
Trevor Davis,WR,GB,** BYE **,--
Brandon Tate,WR,BUF,Oak,0.1
Victor Bolden Jr.,WR,SF,Phi,0.1
Jake Rudock,QB,DET,Pit,0.1
Kellen Clemens,QB,LAC,NE,0.1
Nick Foles,QB,PHI,SF,0.1
Chase Daniel,QB,NO,Chi,0.1
Jimmy Garoppolo,QB,NE,LAC,0.1
Ryan Fitzpatrick,QB,TB,Car,0.1
AJ McCarron,QB,CIN,Ind,0.1
Derek Anderson,QB,CAR,TB,0.1
Cooper Rush,QB,DAL,Wsh,0.1
Nathan Peterman,QB,BUF,Oak,0.1
Colt McCoy,QB,WSH,Dal,0.1
Austin Davis,QB,SEA,Hou,0.1
Bryce Petty,QB,NYJ,Atl,0.1
Sammie Coates,WR,CLE,Min,0.1
Paxton Lynch,QB,DEN,KC,0.1
Brian Hoyer,QB,SF,Phi,0.1
Matt Schaub,QB,ATL,NYJ,0.1
Landry Jones,QB,PIT,Det,0.1
Mike Glennon,QB,CHI,NO,0.1
EJ Manuel,QB,OAK,Buf,0.1
Tom Savage,QB,HOU,Sea,0.1
Patrick Mahomes,QB,KC,Den,0.1
Ryan Mallett,QB,BAL,Mia,0.1
David Fales,QB,MIA,Bal,0.1
Cody Kessler,QB,CLE,Min,0.1
Scott Tolzien,QB,IND,Cin,0.1
Tavon Austin,WR,LAR,** BYE **,--
Jeff Janis,WR,GB,** BYE **,--
Corey Grant,RB,JAX,** BYE **,--
Keelan Cole,WR,JAX,** BYE **,--
Sterling Shepard,WR,NYG,** BYE **,--
Cooper Kupp,WR,LAR,** BYE **,--
Eric Weems,WR,TEN,** BYE **,--
Randall Cobb,WR,GB,** BYE **,--
Shane Vereen,RB,NYG,** BYE **,--
Taiwan Jones,RB,BUF,Oak,0
Phil Dawson,K,ARI,** BYE **,--
Sebastian Janikowski,K,OAK,Buf,0
Mike Vick,QB,PIT,Det,0
Steve Smith Sr.,WR,BAL,Mia,0
Shayne Graham,K,ATL,NYJ,0
Billy Cundiff,K,CLE,Min,0
Shaun Hill,QB,MIN,Cle,0
Carson Palmer,QB,ARI,** BYE **,--
Andre Johnson,WR,TEN,** BYE **,--
Anquan Boldin,WR,BUF,Oak,0
Josh Brown,K,NYG,** BYE **,--
Tony Romo,QB,DAL,Wsh,0
Eli Manning,QB,NYG,** BYE **,--
Larry Fitzgerald,WR,ARI,** BYE **,--
Kellen Winslow,TE,NYJ,Atl,0
Steven Jackson,RB,NE,LAC,0
Luke McCown,QB,DAL,Wsh,0
Jerricho Cotchery,WR,CAR,TB,0
Josh Scobee,K,NO,Chi,0
Wes Welker,WR,LAR,** BYE **,--
Aaron Rodgers,QB,GB,** BYE **,--
Roddy White,WR,ATL,NYJ,0
Vincent Jackson,WR,TB,Car,0
Alex Smith,TE,WSH,Dal,0
Darren Sproles,RB,PHI,SF,0
Dan Orlovsky,QB,LAR,** BYE **,--
Matt Cassel,QB,TEN,** BYE **,--
Joshua Cribbs,WR,IND,Cin,0
Nate Washington,WR,NE,LAC,0
Shaun Suisham,K,PIT,Det,0
Lance Moore,WR,ATL,NYJ,0
John Kuhn,RB,NO,Chi,0
Reggie Bush,RB,BUF,Oak,0
Jay Cutler,QB,MIA,Bal,0
DeAngelo Williams,RB,PIT,Det,0
Marcedes Lewis,TE,JAX,** BYE **,--
Greg Jennings,WR,MIA,Bal,0
Devin Hester,WR,SEA,Hou,0
Tarvaris Jackson,QB,SEA,Hou,0
Charlie Whitehurst,QB,CLE,Min,0
Derek Hagan,WR,TEN,** BYE **,--
Owen Daniels,TE,DEN,KC,0
Jason Avant,WR,KC,Den,0
Brandon Marshall,WR,NYG,** BYE **,--
Delanie Walker,TE,TEN,** BYE **,--
Bruce Gradkowski,QB,PIT,Det,0
Marques Colston,WR,NO,Chi,0
Miles Austin,WR,PHI,SF,0
Fred Jackson,RB,SEA,Hou,0
Daniel Fells,TE,NYG,** BYE **,--
Calvin Johnson,WR,DET,Pit,0
Adrian Peterson,RB,ARI,** BYE **,--
Marshawn Lynch,RB,OAK,Buf,0
Dwayne Bowe,WR,CLE,Min,0
Greg Olsen,TE,CAR,TB,0
Drew Stanton,QB,ARI,** BYE **,--
Jacoby Jones,WR,PIT,Det,0
Matt Spaeth,TE,PIT,Det,0
James Jones,WR,LAC,NE,0
Scott Chandler,TE,NE,LAC,0
Nick Folk,K,TB,Car,0
Mason Crosby,K,GB,** BYE **,--
Clark Harris,TE,CIN,Ind,0
Ahmad Bradshaw,RB,IND,Cin,0
Pierre Thomas,RB,WSH,Dal,0
Darren McFadden,RB,DAL,Wsh,0
Chris Johnson,RB,ARI,** BYE **,--
Jordy Nelson,WR,GB,** BYE **,--
Eddie Royal,WR,CHI,NO,0
Jerome Simpson,WR,SF,Phi,0
Fred Davis,TE,WSH,Dal,0
Chad Henne,QB,JAX,** BYE **,--
Martellus Bennett,TE,GB,** BYE **,--
Harry Douglas,WR,TEN,** BYE **,--
Craig Stevens,TE,TEN,** BYE **,--
Andre Jerome Caldwell,WR,DET,Pit,0
Gary Barnidge,TE,CLE,Min,0
Jerome Felton,RB,BUF,Oak,0
Jacob Tamme,TE,ATL,NYJ,0
Tim Hightower,RB,SF,Phi,0
Matthew Slater,WR,NE,LAC,0
Kellen Davis,TE,NYJ,Atl,0
Josh Johnson,QB,NYG,** BYE **,--
Matt Flynn,QB,NO,Chi,0
Stevie Johnson,WR,LAC,NE,0
Justin Forsett,RB,DEN,KC,0
Garrett Hartley,K,PIT,Det,0
Dan Carpenter,K,BUF,Oak,0
Matthew Mulligan,TE,DET,Pit,0
Marcel Reece,RB,SEA,Hou,0
Danny Woodhead,RB,BAL,Mia,0
Josh Freeman,QB,IND,Cin,0
Mark Sanchez,QB,CHI,NO,0
Donald Brown,RB,NE,LAC,0
Arian Foster,RB,MIA,Bal,0
Rashad Jennings,RB,NYG,** BYE **,--
David Johnson,TE,PIT,Det,0
Jorvorskie Lane,RB,TB,Car,0
Cedric Peerman,RB,CIN,Ind,0
Marcus Thigpen,RB,BUF,Oak,0
James Casey,TE,DEN,KC,0
Chase Coffman,TE,IND,Cin,0
Bear Pascoe,TE,NE,LAC,0
Brandon Pettigrew,TE,DET,Pit,0
John Phillips,TE,NO,Chi,0
Brandon Gibson,WR,NE,LAC,0
Brian Hartline,WR,CLE,Min,0
Percy Harvin,WR,BUF,Oak,0
Louis Murphy,WR,SF,Phi,0
Hakeem Nicks,WR,NO,Chi,0
Jordan Norwood,WR,DEN,KC,0
Kevin Ogletree,WR,NYG,** BYE **,--
Julian Edelman,WR,NE,LAC,0
Brandon Myers,TE,TB,Car,0
Ryan Succop,K,TEN,** BYE **,--
Darrel Young,RB,CAR,TB,0
Antone Smith,RB,TB,Car,0
Sam Bradford,QB,MIN,Cle,0
Jimmy Clausen,QB,BAL,Mia,0
Dan LeFevour,QB,TB,Car,0
C.J. Spiller,RB,KC,Den,0
Ryan Mathews,RB,PHI,SF,0
Dexter McCluster,RB,LAC,NE,0
Ben Tate,RB,PIT,Det,0
Toby Gerhart,RB,JAX,** BYE **,--
Boobie Dixon,RB,BUF,Oak,0
James Starks,RB,GB,** BYE **,--
Arrelious Benn,WR,JAX,** BYE **,--
Marcus Easley,WR,BUF,Oak,0
Riley Cooper,WR,PHI,SF,0
Jermaine Gresham,TE,ARI,** BYE **,--
Dennis Pitta,TE,BAL,Mia,0
Eric Decker,WR,TEN,** BYE **,--
Tony Moeaki,TE,CHI,NO,0
Emmanuel Sanders,WR,DEN,KC,0
Jim Dray,TE,ARI,** BYE **,--
Garrett Graham,TE,DEN,KC,0
Clay Harbor,TE,NO,Chi,0
Marc Mariani,WR,TEN,** BYE **,--
Anthony McCoy,TE,SEA,Hou,0
Andrew Quarless,TE,DET,Pit,0
Joe Webb,QB,BUF,Oak,0
Kyle Williams,WR,NYJ,Atl,0
Mike Williams,WR,KC,Den,0
Seyi Ajirotutu,WR,PHI,SF,0
Joique Bell,RB,DET,Pit,0
Richie Brockel,TE,CAR,TB,0
Victor Cruz,WR,CHI,NO,0
Jeff Cumberland,TE,LAC,NE,0
Chris Ivory,RB,JAX,** BYE **,--
Thaddeus Lewis,QB,BAL,Mia,0
Marlon Moore,WR,CLE,Min,0
Bryan Walters,WR,JAX,** BYE **,--
Preston Parker,WR,FA,** BYE **,--
Logan Paulsen,TE,SF,Phi,0
Danario Alexander,WR,LAC,NE,0
Tyler Clutts,RB,DAL,Wsh,0
Andrew Hawkins,WR,CLE,Min,0
Christian Ponder,QB,SF,Phi,0
Blaine Gabbert,QB,ARI,** BYE **,--
Colin Kaepernick,QB,SF,Phi,0
DeMarco Murray,RB,TEN,** BYE **,--
Lance Kendricks,TE,GB,** BYE **,--
Rob Housler,TE,NE,LAC,0
Leonard Hankerson,WR,BUF,Oak,0
Greg Little,WR,BUF,Oak,0
Vincent Brown,WR,NO,Chi,0
Stevan Ridley,RB,MIN,Cle,0
Ryan Williams,RB,DAL,Wsh,0
Daniel Thomas,RB,MIA,Bal,0
Bruce Miller,TE,SF,Phi,0
Dwayne Harris,WR,NYG,** BYE **,--
David Ausberry,TE,DET,Pit,0
Greg Salas,WR,BUF,Oak,0
T.J. Yates,QB,BUF,Oak,0
Charles Clay,TE,BUF,Oak,0
Denarius Moore,WR,BUF,Oak,0
D.J. Williams,TE,WSH,Dal,0
Kendall Hunter,RB,NO,Chi,0
Cecil Shorts III,WR,TB,Car,0
Jordan Todman,RB,HOU,Sea,0
Jordan Cameron,TE,MIA,Bal,0
Roy Helu Jr.,RB,OAK,Buf,0
DuJuan Harris,RB,JAX,** BYE **,--
Jerrod Johnson,QB,DAL,Wsh,0
Ricardo Lockette,WR,SEA,Hou,0
Dan Bailey,K,DAL,Wsh,0
Matt Asiata,RB,DET,Pit,0
Joe Morgan,WR,BAL,Mia,0
Jeremy Ross,WR,ARI,** BYE **,--
Shaun Draughn,RB,NYG,** BYE **,--
Chase Reynolds,RB,LAR,** BYE **,--
Will Johnson,RB,NYG,** BYE **,--
Andrew Luck,QB,IND,Cin,0
Robert Griffin III,QB,CLE,Min,0
Ryan Tannehill,QB,MIA,Bal,0
Brandon Weeden,QB,TEN,** BYE **,--
Brock Osweiler,QB,DEN,KC,0
Kellen Moore,QB,DAL,Wsh,0
Ryan Lindley,QB,IND,Cin,0
Trent Richardson,RB,BAL,Mia,0
Isaiah Pead,RB,MIA,Bal,0
Chris Polk,RB,HOU,Sea,0
LaMike James,RB,MIA,Bal,0
Bernard Pierce,RB,DEN,KC,0
Robert Turbin,RB,IND,Cin,0
Ronnie Hillman,RB,DAL,Wsh,0
Cyrus Gray,RB,ATL,NYJ,0
Vick Ballard,RB,NO,Chi,0
Orson Charles,TE,KC,Den,0
Ladarius Green,TE,PIT,Det,0
Justin Blackmon,WR,JAX,** BYE **,--
Stephen Hill,WR,CAR,TB,0
Rueben Randle,WR,CHI,NO,0
Brian Quick,WR,WSH,Dal,0
Keshawn Martin,WR,DET,Pit,0
Trevor Graham,WR,CAR,TB,0
Nick Toon,WR,LAR,** BYE **,--
DeVier Posey,WR,DEN,KC,0
Greg Zuerlein,K,LAR,** BYE **,--
Rhett Ellison,TE,NYG,** BYE **,--
LaVon Brazill,WR,IND,Cin,0
Daniel Herron,RB,BUF,Oak,0
Chris Givens,WR,PHI,SF,0
Bryce Brown,RB,SEA,Hou,0
Rishard Matthews,WR,TEN,** BYE **,--
Daryl Richardson,RB,IND,Cin,0
Greg Scruggs,TE,NE,LAC,0
Kashif Moore,WR,KC,Den,0
Nathan Palmer,WR,OAK,Buf,0
Cory Harkey,RB,LAR,** BYE **,--
Chris Owusu,WR,NYJ,Atl,0
Brian Tyms,WR,IND,Cin,0
Phillip Supernaw,TE,TEN,** BYE **,--
Joe Banyard,RB,BUF,Oak,0
Jeff Fuller,WR,SEA,Hou,0
Derrick Coleman,RB,ATL,NYJ,0
Beau Brinkley,TE,TEN,** BYE **,--
Jarrett Boykin,WR,BUF,Oak,0
Griff Whalen,WR,BAL,Mia,0
Jonas Gray,RB,JAX,** BYE **,--
Lance Dunbar,RB,LAR,** BYE **,--
Dominique Jones,TE,MIA,Bal,0
Rod Streater,WR,BUF,Oak,0
Derek Carrier,TE,LAR,** BYE **,--
Matt Simms,QB,ATL,NYJ,0
Travaris Cadet,RB,NYJ,Atl,0
Brandon Bolden,RB,NE,LAC,0
Sean McGrath,TE,LAC,NE,0
LaRon Byrd,WR,CAR,TB,0
Brittan Golden,WR,ARI,** BYE **,--
Damaris Johnson,WR,TEN,** BYE **,--
Jonathan Grimes,RB,JAX,** BYE **,--
Chase Ford,TE,BAL,Mia,0
Cooper Helfet,TE,OAK,Buf,0
Brandon Bostick,TE,NYJ,Atl,0
Alex Tanney,QB,TEN,** BYE **,--
Josh Gordon,WR,CLE,Min,0
Larry Donnell,TE,BAL,Mia,0
Ifeanyi Momah,TE,ARI,** BYE **,--
Brandon Bogotay,K,TB,Car,0
Tyler Eifert,TE,CIN,Ind,0
Stedman Bailey,WR,LAR,** BYE **,--
Montee Ball,RB,FA,** BYE **,--
Knile Davis,RB,PIT,Det,0
Aaron Dobson,WR,ARI,** BYE **,--
Gavin Escobar,TE,KC,Den,0
Christine Michael,RB,IND,Cin,0
Geno Smith,QB,NYG,** BYE **,--
Markus Wheaton,WR,CHI,NO,0
Robert Woods,WR,LAR,** BYE **,--
Charles D. Johnson,WR,CAR,TB,0
Ryan Nassib,QB,JAX,** BYE **,--
Andre Ellington,RB,ARI,** BYE **,--
Sean Renfree,QB,ATL,NYJ,0
B.J. Daniels,WR,ATL,NYJ,0
Michael Williams,TE,NE,LAC,0
Tavarres King,WR,NYG,** BYE **,--
Caleb Sturgis,K,PHI,SF,0
Mychal Rivera,TE,JAX,** BYE **,--
Zac Dysert,QB,ARI,** BYE **,--
Chris Gragg,TE,NYJ,Atl,0
Matt Barkley,QB,SF,Phi,0
Denard Robinson,RB,JAX,** BYE **,--
Dustin Hopkins,K,WSH,Dal,0
Mike James,RB,DET,Pit,0
Tommy Bohanon,RB,JAX,** BYE **,--
Stepfan Taylor,RB,ARI,** BYE **,--
Cobi Hamilton,WR,PIT,Det,0
Justice Cunningham,TE,LAR,** BYE **,--
Zac Stacy,RB,NYJ,Atl,0
Josh Boyce,WR,CLE,Min,0
Chris Harper,WR,NYG,** BYE **,--
Joseph Randle,RB,FA,** BYE **,--
Corey Fuller,WR,NO,Chi,0
Spencer Ware,RB,KC,Den,0
Marquess Wilson,WR,NYJ,Atl,0
Quinton Patton,WR,NYJ,Atl,0
Kendall Gaskins,RB,SF,Phi,0
Steven Miller,RB,DET,Pit,0
Ryan Griffin,QB,TB,Car,0
Da'Rick Rogers,WR,KC,Den,0
Jaron Brown,WR,ARI,** BYE **,--
Chris Pantale,TE,MIA,Bal,0
Ryan Spadola,WR,DET,Pit,0
Tyler Bray,QB,KC,Den,0
Timothy Wright,TE,DET,Pit,0
Zach Line,RB,NO,Chi,0
Rodney Smith,WR,SEA,Hou,0
Kenbrell Thompkins,WR,NYJ,Atl,0
Zach Sudfeld,TE,NYJ,Atl,0
George Winn,RB,IND,Cin,0
Jake Stoneburner,TE,LAR,** BYE **,--
Khiry Robinson,RB,NYJ,Atl,0
Myles White,WR,NYJ,Atl,0
Marlon Brown,WR,DEN,KC,0
Matt McGloin,QB,PHI,SF,0
Blake Bortles,QB,JAX,** BYE **,--
Sammy Watkins,WR,LAR,** BYE **,--
Teddy Bridgewater,QB,MIN,Cle,0
Odell Beckham Jr.,WR,NYG,** BYE **,--
Johnny Manziel,QB,CLE,Min,0
Dri Archer,RB,BUF,Oak,0
C.J. Fiedorowicz,TE,HOU,Sea,0
Crockett Gillmore,TE,BAL,Mia,0
Josh Huff,WR,TB,Car,0
Terrance West,RB,BAL,Mia,0
Tre Mason,RB,LAR,** BYE **,--
Richard Rodgers,TE,GB,** BYE **,--
Jace Amaro,TE,TEN,** BYE **,--
Bishop Sankey,RB,MIN,Cle,0
Troy Niklas,TE,ARI,** BYE **,--
Allen Robinson,WR,JAX,** BYE **,--
Davante Adams,WR,GB,** BYE **,--
John Brown,WR,ARI,** BYE **,--
Shaq Evans,WR,DAL,Wsh,0
Tajh Boyd,QB,PIT,Det,0
Zach Mettenberger,QB,PIT,Det,0
Jeremy Gallon,WR,NE,LAC,0
Tyler Gaffney,RB,JAX,** BYE **,--
Kevin Norwood,WR,NYG,** BYE **,--
Storm Johnson,RB,MIA,Bal,0
Lache Seastrunk,RB,NYJ,Atl,0
Andre Williams,RB,LAC,NE,0
Keith Wenning,QB,BUF,Oak,0
Zach Hocker,K,TB,Car,0
Jalen Saunders,WR,NE,LAC,0
Ka'Deem Carey,RB,CHI,NO,0
Lorenzo Taliaferro,RB,BAL,Mia,0
