Player,Position,Team,Opponent,ESPN_FantasyPoints
Joshua Dobbs,QB,PIT,Det,0
Wayne Gallman,RB,NYG,** BYE **,--
Jake Butt,TE,DEN,KC,0
Mason Schreck,TE,CIN,Ind,0
Jeremy Sprinkle,TE,WSH,Dal,0
Dalvin Cook,RB,MIN,Cle,0
David Moore,WR,SEA,Hou,0
T.J. Logan,RB,ARI,** BYE **,--
Carlos Henderson,WR,DEN,KC,0
Robert Davis,WR,WSH,Dal,0
Shelton Gibson,WR,PHI,SF,0
Dede Westbrook,WR,JAX,** BYE **,--
Aaron Jones,RB,GB,** BYE **,--
Corey Davis,WR,TEN,** BYE **,--
Bucky Hodges,TE,MIN,Cle,0
Sam Rogers,RB,LAR,** BYE **,--
Isaiah Ford,WR,MIA,Bal,0
Devante Mays,RB,GB,** BYE **,--
Chris Carson,RB,SEA,Hou,0
Eric Saubert,TE,ATL,NYJ,0
Joe Williams,RB,SF,Phi,0
Jamaal Williams,RB,GB,** BYE **,--
Gerald Everett,TE,LAR,** BYE **,--
Evan Engram,TE,NYG,** BYE **,--
Stacy Coley,WR,MIN,Cle,0
Khalfani Muhammad,RB,TEN,** BYE **,--
Jeremy McNichols,RB,TB,Car,0
DeAngelo Yancey,WR,GB,** BYE **,--
Davis Webb,QB,NYG,** BYE **,--
Brian Hill,RB,ATL,NYJ,0
Freddie Stevenson,RB,CHI,NO,0
Jace Billingsley,WR,DET,Pit,0
Ishmael Zamora,WR,OAK,Buf,0
Austin Carr,WR,NO,Chi,0
