,Player,Position,Team,Opponent,ESPN_FantasyPoints,PlayerID
143,Paul Richardson,WR,SEA,Hou,8.3,00-0031257
144,Randy Bullock,K,CIN,Ind,8.2,00-0029421
145,Brandon LaFell,WR,CIN,Ind,8.1,00-0027681
146,Willie Snead,WR,NO,Chi,8.1,00-0030663
147,Kenny Stills,WR,MIA,Bal,8,00-0030085
148,Austin Hooper,TE,ATL,NYJ,8,00-0032392
149,Vernon Davis,TE,WSH,Dal,8,00-0024221
150,Patrick Murray,K,TB,Car,7.9,00-0030626
151,Ted Ginn Jr.,WR,NO,Chi,7.9,00-0025396
152,JuJu Smith-Schuster,WR,PIT,Det,7.9,00-0033857
153,Chandler Catanzaro,K,NYJ,Atl,7.7,00-0030896
154,Ravens,DST,RAVENS,Mia,7.7,
155,Blair Walsh,K,SEA,Hou,7.7,00-0029576
156,Jack Doyle,TE,IND,Cin,7.6,00-0030181
157,Austin Ekeler,RB,LAC,NE,7.6,00-0033699
158,Chiefs,DST,CHIEFS,Den,7.5,
159,Marlon Mack,RB,IND,Cin,7.5,00-0033951
160,Albert Wilson,WR,KC,Den,7.5,00-0030669
161,Saints,DST,SAINTS,Chi,7.4,
162,TJ Jones,WR,DET,Pit,7.4,00-0031189
163,Seahawks,DST,SEAHAWKS,Hou,7.2,
164,Robbie Gould,K,SF,Phi,7.2,00-0023252
165,Steelers,DST,STEELERS,Det,7.1,
166,Cody Parkey,K,MIA,Bal,7.1,00-0030850
167,Brandon McManus,K,DEN,KC,7.1,00-0029822
168,Falcons,DST,FALCONS,NYJ,7,
169,George Kittle,TE,SF,Phi,7,00-0033288
170,Giorgio Tavecchio,K,OAK,Buf,6.9,00-0028907
171,Nick Novak,K,LAC,NE,6.9,00-0023096
172,Ryan Griffin,TE,HOU,Sea,6.9,00-0030108
173,Julius Thomas,TE,MIA,Bal,6.8,00-0028067
174,Ryan Grant,WR,WSH,Dal,6.8,00-0031068
175,Ka'imi Fairbairn,K,HOU,Sea,6.8,00-0032726
176,Jeremy Kerley,WR,NYJ,Atl,6.8,00-0028091
177,Zay Jones,WR,BUF,Oak,6.8,00-0033891
178,Mike Gillislee,RB,NE,LAC,6.7,00-0030433
179,Benjamin Watson,TE,BAL,Mia,6.7,00-0022943
180,Matt Breida,RB,SF,Phi,6.7,00-0033308
181,A.J. Derby,TE,DEN,KC,6.7,00-0031609
182,Dolphins,DST,DOLPHINS,Bal,6.6,
183,Nick O'Leary,TE,BUF,Oak,6.6,00-0032117
184,Panthers,DST,PANTHERS,TB,6.6,
185,Adam Vinatieri,K,IND,Cin,6.5,00-0016919
186,Mike Nugent,K,NYG,** BYE **,--,
187,Adam Humphries,WR,TB,Car,6.5,00-0032009
188,Thomas Rawls,RB,SEA,Hou,6.5,00-0031897
189,Jesse James,TE,PIT,Det,6.5,00-0032135
190,Coby Fleener,TE,NO,Chi,6.4,00-0029697
191,Trent Taylor,WR,SF,Phi,6.4,00-0033292
192,Eric Ebron,TE,DET,Pit,6.4,00-0031387
193,Eddie Lacy,RB,SEA,Hou,6.2,00-0030485
194,Tre McBride III,WR,CHI,NO,6.1,00-0032123
195,Jordan Taylor,WR,DEN,KC,6.1,00-0031697
196,Texans,DST,TEXANS,Sea,6,
197,Buccaneers,DST,BUCCANEERS,Car,6,
198,Patriots,DST,PATRIOTS,LAC,5.9,
199,Mike Tolbert,RB,BUF,Oak,5.8,00-0026069
200,Seth Roberts,WR,OAK,Buf,5.8,00-0031166
201,Connor Barth,K,CHI,NO,5.8,00-0026138
202,Kenny Britt,WR,CLE,Min,5.7,00-0027006
203,Breshad Perriman,WR,BAL,Mia,5.7,00-0032054
204,Tanner Gentry,WR,CHI,NO,5.7,00-0033633
205,Charles Sims,RB,TB,Car,5.6,00-0031390
206,O.J. Howard,TE,TB,Car,5.6,00-0033879
207,Bills,DST,BILLS,Oak,5.6,
208,Jamaal Charles,RB,DEN,KC,5.4,00-0026213
209,C.J. Prosise,RB,SEA,Hou,5.4,00-0032393
210,Bruce Ellington,WR,HOU,Sea,5.4,00-0031326
211,Broncos,DST,BRONCOS,KC,5.4,
212,Darren Fells,TE,DET,Pit,5.4,00-0029738
213,Stephen Anderson,TE,HOU,Sea,5.4,00-0032725
214,Torrey Smith,WR,PHI,SF,5.3,00-0027996
215,Browns,DST,BROWNS,Min,5.1,
216,Lions,DST,LIONS,Pit,5.1,
217,Cowboys,DST,COWBOYS,Wsh,5.1,
218,Zane Gonzalez,K,CLE,Min,5.1,00-0033862
219,Seth DeValve,TE,CLE,Min,5,00-0033080
220,David Njoku,TE,CLE,Min,5,00-0033885
221,Rashard Higgins,WR,CLE,Min,4.9,00-0032977
222,Bears,DST,BEARS,NO,4.9,
223,Antonio Gates,TE,LAC,NE,4.8,00-0021547
224,Mike Williams,WR,LAC,NE,4.7,00-0033536
225,Brandon Coleman,WR,NO,Chi,4.7,00-0030801
226,D'Onta Foreman,RB,HOU,Sea,4.7,00-0033925
227,Charcandrick West,RB,KC,Den,4.7,00-0030668
228,Raiders,DST,RAIDERS,Buf,4.6,
229,Jeremy Hill,RB,CIN,Ind,4.6,00-0031301
230,Dion Sims,TE,CHI,NO,4.6,00-0030422
231,Rex Burkhead,RB,NE,LAC,4.5,00-0030288
232,Redskins,DST,REDSKINS,Dal,4.4,
233,Jared Abbrederis,WR,DET,Pit,4.4,00-0031021
234,Russell Shepard,WR,CAR,TB,4.4,00-0030147
235,Kyle Juszczyk,RB,SF,Phi,4.4,00-0029892
236,Travis Benjamin,WR,LAC,NE,4.4,00-0029269
237,Michael Campanaro,WR,BAL,Mia,4.3,00-0031025
238,Virgil Green,TE,DEN,KC,4.3,00-0028142
239,Colts,DST,COLTS,Cin,4.3,
240,Kasen Williams,WR,CLE,Min,4.3,00-0032250
241,Andre Holmes,WR,BUF,Oak,4.2,00-0028263
242,Devontae Booker,RB,DEN,KC,4.2,00-0032972
243,Terrelle Pryor Sr.,WR,WSH,Dal,4.1,00-0028825
244,John Ross,WR,CIN,Ind,4.1,00-0033460
245,49ers,DST,49ERS,Phi,4.1,
246,Kamar Aiken,WR,IND,Cin,4,00-0028497
247,Demarcus Robinson,WR,KC,Den,4,00-0032775
248,Aldrick Robinson,WR,SF,Phi,4,00-0028116
249,Laquon Treadwell,WR,MIN,Cle,3.8,00-0032951
250,Cordarrelle Patterson,WR,OAK,Buf,3.8,00-0030578
251,Chargers,DST,CHARGERS,NE,3.7,
252,Jets,DST,JETS,Atl,3.6,
253,Brice Butler,WR,DAL,Wsh,3.5,00-0030516
254,Damien Williams,RB,MIA,Bal,3.5,00-0030874
255,Logan Thomas,TE,BUF,Oak,3.4,00-0031260
256,Cody Latimer,WR,DEN,KC,3.3,00-0031344
257,Corey Clement,RB,PHI,SF,3.3,00-0033725
258,Elijah McGuire,RB,NYJ,Atl,3.2,00-0033295
259,Nick Boyle,TE,BAL,Mia,3.2,00-0031598
260,Chester Rogers,WR,IND,Cin,3.2,00-0032355
261,Isaiah McKenzie,WR,DEN,KC,3.2,00-0033466
262,Vance McDonald,TE,PIT,Det,2.9,00-0030470
263,Dwayne Washington,RB,DET,Pit,2.8,00-0032450
264,Joshua Bellamy,WR,CHI,NO,2.8,00-0029319
265,Cody Core,WR,CIN,Ind,2.7,00-0032795
266,Amara Darboh,WR,SEA,Hou,2.7,00-0033937
267,Michael Hoomanawanui,TE,NO,Chi,2.7,00-0027732
268,Bryce Treggs,WR,CLE,Min,2.6,00-0032724
269,Curtis Samuel,WR,CAR,TB,2.6,00-0033282
270,Demetrius Harris,TE,KC,Den,2.5,00-0030155
271,Alfred Morris,RB,DAL,Wsh,2.5,00-0029141
272,Michael Floyd,WR,MIN,Cle,2.4,00-0029638
273,Justin Hunter,WR,PIT,Det,2.3,00-0030521
274,Luke Willson,TE,SEA,Hou,2.3,00-0030089
275,Trey Burton,TE,PHI,SF,2.3,00-0030710
276,Jacquizz Rodgers,RB,TB,Car,2.3,00-0028083
277,Mack Hollins,WR,PHI,SF,2.3,00-0033555
278,Alex Erickson,WR,CIN,Ind,2.2,00-0032543
279,James Conner,RB,PIT,Det,2.2,00-0033553
280,ArDarius Stewart,WR,NYJ,Atl,2.2,00-0033916
281,Justin Hardy,WR,ATL,NYJ,2.2,00-0031570
282,De'Anthony Thomas,WR,KC,Den,2.2,00-0031060
283,Kenyan Drake,RB,MIA,Bal,2.2,00-0033118
284,Maxx Williams,TE,BAL,Mia,2,00-0031558
285,J.D. McKissic,RB,SEA,Hou,1.9,00-0032602
286,Deonte Thompson,WR,BUF,Oak,1.9,
287,Eli Rogers,WR,PIT,Det,1.7,00-0031782
288,Chris Thompson,WR,HOU,Sea,1.7,00-0033855
289,Samaje Perine,RB,WSH,Dal,1.7,00-0033526
290,James Hanna,TE,DAL,Wsh,1.7,00-0029634
291,Patrick DiMarco,RB,BUF,Oak,1.6,00-0028581
292,Benny Cunningham,RB,CHI,NO,1.3,00-0029795
293,Josh Hill,TE,NO,Chi,1.3,00-0030216
294,Josh Ferguson,RB,IND,Cin,1.3,
295,Brent Celek,TE,PHI,SF,1.2,00-0025549
296,Tommylee Lewis,WR,NO,Chi,1.2,00-0032881
297,Fozzy Whittaker,RB,CAR,TB,1.2,00-0029731
298,Jeff Heuerman,TE,DEN,KC,1.2,00-0032227
299,Niles Paul,TE,WSH,Dal,1.2,00-0028093
300,Lee Smith,TE,OAK,Buf,1.2,00-0028097
301,Darrius Heyward-Bey,WR,PIT,Det,1.1,00-0026983
302,Chris Godwin,WR,TB,Car,1.1,00-0033921
303,C.J. Uzomah,TE,CIN,Ind,1.1,00-0032134
304,Levine Toilolo,TE,ATL,NYJ,1.1,00-0030443
305,Cole Hikutini,TE,SF,Phi,1.1,00-0033315
306,Marcus Johnson,WR,PHI,SF,1.1,00-0032980
307,Garrett Celek,TE,SF,Phi,1.1,00-0028903
308,Alfred Blue,RB,HOU,Sea,1.1,00-0031075
309,Nick Vannett,TE,SEA,Hou,1.1,00-0032394
310,Jakeem Grant,WR,MIA,Bal,1.1,00-0032791
311,Chris Matthews,WR,BAL,Mia,1.1,00-0028702
312,Ross Travis,TE,KC,Den,1,00-0032319
313,Brandon Williams,TE,IND,Cin,0.9,00-0029793
314,Darrell Daniels,TE,IND,Cin,0.9,00-0033258
315,Bobby Rainey Jr.,RB,BAL,Mia,0.9,00-0029384
316,Rod Smith,RB,DAL,Wsh,0.7,00-0031900
317,Jamize Olawale,RB,OAK,Buf,0.7,00-0029492
318,C.J. Ham,RB,MIN,Cle,0.7,00-0032918
319,Michael Roberts,TE,DET,Pit,0.6,00-0033559
320,Dwayne Allen,TE,NE,LAC,0.6,00-0029689
321,Matthew Dayes,RB,CLE,Min,0.6,00-0033596
322,Chris Manhertz,TE,CAR,TB,0.6,00-0031484
323,Quan Bray,WR,IND,Cin,0.6,00-0031514
324,Geoff Swaim,TE,DAL,Wsh,0.6,00-0032141
325,Clive Walford,TE,OAK,Buf,0.6,00-0032256
326,Cethan Carter,TE,CIN,Ind,0.6,00-0033338
327,Nick Williams,WR,ATL,NYJ,0.6,00-0029848
328,Bernard Reedy,WR,TB,Car,0.5,00-0030743
329,Eric Tomlinson,TE,NYJ,Atl,0.5,00-0031690
330,Jordan Leggett,TE,NYJ,Atl,0.5,00-0033953
331,Phillip Dorsett,WR,NE,LAC,0.5,00-0032208
332,Chad Hansen,WR,NYJ,Atl,0.5,00-0033840
333,Blake Bell,TE,MIN,Cle,0.5,00-0032062
334,David Morgan II,TE,MIN,Cle,0.5,00-0032430
335,Jehu Chesson,WR,KC,Den,0.5,00-0033464
336,Anthony Sherman,RB,KC,Den,0.5,00-0028074
337,Ryan Switzer,WR,DAL,Wsh,0.5,00-0033562
338,Anthony Fasano,TE,MIA,Bal,0.5,00-0024268
339,Jarius Wright,WR,MIN,Cle,0.5,00-0029572
340,Khari Lee,TE,BUF,Oak,0.5,00-0031922
341,MarQueis Gray,TE,MIA,Bal,0.5,00-0029878
342,Akeem Hunt,RB,KC,Den,0.5,00-0031743
343,Leonte Carroo,WR,MIA,Bal,0.5,00-0033060
344,Andy Janovich,RB,DEN,KC,0.4,00-0032956
345,Golden Tate,WR,DET,Pit,0.4,00-0027891
346,Terrell Watson,RB,PIT,Det,0.4,00-0031793
347,Michael Burton,RB,CHI,NO,0.4,00-0031595
348,Andre Roberts,WR,ATL,NYJ,0.3,00-0027691
349,Pharoh Cooper,WR,LA,** BYE **,--,00-0033111
350,Jacob Hollister,TE,NE,LAC,0.3,00-0033386
351,Luke Stocker,TE,TB,Car,0.3,00-0028042
352,Raheem Mostert,RB,SF,Phi,0.3,00-0031687
353,James Develin,RB,NE,LAC,0.3,00-0027925
354,Noah Brown,WR,DAL,Wsh,0.3,00-0033591
355,Ryan Hewitt,RB,CIN,Ind,0.3,00-0030780
356,Adam Shaheen,TE,CHI,NO,0.2,00-0033896
357,Randall Telfer,TE,CLE,Min,0.2,00-0031533
358,Trey Edmunds,RB,NO,Chi,0.2,00-0033838
359,Travis Rudolph,WR,NYG,** BYE **,--,00-0033717
360,Kerwynn Williams,RB,ARI,** BYE **,--,00-0030117
361,Marqise Lee,WR,JAX,** BYE **,--,00-0031431
362,Kenjon Barner,RB,PHI,SF,0.1,00-0030465
363,Derek Watt,RB,LAC,NE,0.1,
364,Trevor Davis,WR,GB,** BYE **,--,00-0032423
365,Brandon Tate,WR,BUF,Oak,0.1,00-0027057
366,Victor Bolden Jr.,WR,SF,Phi,0.1,00-0033306
367,Jake Rudock,QB,DET,Pit,0.1,00-0032431
368,Kellen Clemens,QB,LAC,NE,0.1,00-0024264
369,Nick Foles,QB,PHI,SF,0.1,00-0029567
370,Chase Daniel,QB,NO,Chi,0.1,00-0026544
371,Jimmy Garoppolo,QB,NE,LAC,0.1,00-0031345
372,Ryan Fitzpatrick,QB,TB,Car,0.1,00-0023682
373,AJ McCarron,QB,CIN,Ind,0.1,00-0031288
374,Derek Anderson,QB,CAR,TB,0.1,00-0023645
375,Cooper Rush,QB,DAL,Wsh,0.1,00-0033662
376,Nathan Peterman,QB,BUF,Oak,0.1,00-0033958
377,Colt McCoy,QB,WSH,Dal,0.1,00-0027688
378,Austin Davis,QB,SEA,Hou,0.1,00-0028957
379,Bryce Petty,QB,NYJ,Atl,0.1,00-0031568
380,Sammie Coates,WR,CLE,Min,0.1,00-0032166
381,Paxton Lynch,QB,DEN,KC,0.1,00-0033108
382,Brian Hoyer,QB,SF,Phi,0.1,00-0026625
383,Matt Schaub,QB,ATL,NYJ,0.1,00-0022787
384,Landry Jones,QB,PIT,Det,0.1,00-0030524
385,Mike Glennon,QB,CHI,NO,0.1,00-0030520
386,EJ Manuel,QB,OAK,Buf,0.1,00-0030526
387,Tom Savage,QB,HOU,Sea,0.1,00-0031064
388,Patrick Mahomes,QB,KC,Den,0.1,00-0033873
389,Ryan Mallett,QB,BAL,Mia,0.1,00-0028012
390,David Fales,QB,MIA,Bal,0.1,
391,Cody Kessler,QB,CLE,Min,0.1,00-0033104
392,Scott Tolzien,QB,IND,Cin,0.1,00-0028595
393,Tavon Austin,WR,LA,** BYE **,--,00-0030525
394,Jeff Janis,WR,GB,** BYE **,--,00-0031001
395,Corey Grant,RB,JAX,** BYE **,--,00-0031731
396,Keelan Cole,WR,JAX,** BYE **,--,00-0033681
397,Sterling Shepard,WR,NYG,** BYE **,--,00-0032385
398,Cooper Kupp,WR,LA,** BYE **,--,00-0033908
399,Eric Weems,WR,TEN,** BYE **,--,00-0024535
400,Randall Cobb,WR,GB,** BYE **,--,00-0028002
401,Shane Vereen,RB,NYG,** BYE **,--,00-0027994
402,Taiwan Jones,RB,BUF,Oak,0,00-0028063
403,Phil Dawson,K,ARI,** BYE **,--,00-0004091
404,Sebastian Janikowski,K,OAK,Buf,0,00-0019646
405,Mike Vick,QB,PIT,Det,0,
406,Steve Smith Sr.,WR,BAL,Mia,0,
407,Shayne Graham,K,ATL,NYJ,0,
408,Billy Cundiff,K,CLE,Min,0,
409,Shaun Hill,QB,MIN,Cle,0,
410,Carson Palmer,QB,ARI,** BYE **,--,00-0021429
411,Andre Johnson,WR,TEN,** BYE **,--,
412,Anquan Boldin,WR,BUF,Oak,0,
413,Josh Brown,K,NYG,** BYE **,--,
414,Tony Romo,QB,DAL,Wsh,0,
415,Eli Manning,QB,NYG,** BYE **,--,00-0022803
416,Larry Fitzgerald,WR,ARI,** BYE **,--,00-0022921
417,Kellen Winslow,TE,NYJ,Atl,0,
418,Steven Jackson,RB,NE,LAC,0,
419,Luke McCown,QB,DAL,Wsh,0,
420,Jerricho Cotchery,WR,CAR,TB,0,
421,Josh Scobee,K,NO,Chi,0,
422,Wes Welker,WR,LA,** BYE **,--,
423,Aaron Rodgers,QB,GB,** BYE **,--,00-0023459
424,Roddy White,WR,ATL,NYJ,0,
425,Vincent Jackson,WR,TB,Car,0,
426,Alex Smith,TE,WSH,Dal,0,
427,Darren Sproles,RB,PHI,SF,0,00-0023564
428,Dan Orlovsky,QB,LA,** BYE **,--,
429,Matt Cassel,QB,TEN,** BYE **,--,00-0023662
430,Joshua Cribbs,WR,IND,Cin,0,
431,Nate Washington,WR,NE,LAC,0,
432,Shaun Suisham,K,PIT,Det,0,
433,Lance Moore,WR,ATL,NYJ,0,
434,John Kuhn,RB,NO,Chi,0,00-0022999
435,Reggie Bush,RB,BUF,Oak,0,
436,Jay Cutler,QB,MIA,Bal,0,00-0024226
437,DeAngelo Williams,RB,PIT,Det,0,
438,Marcedes Lewis,TE,JAX,** BYE **,--,00-0024243
439,Greg Jennings,WR,MIA,Bal,0,
440,Devin Hester,WR,SEA,Hou,0,
441,Tarvaris Jackson,QB,SEA,Hou,0,
442,Charlie Whitehurst,QB,CLE,Min,0,
443,Derek Hagan,WR,TEN,** BYE **,--,
444,Owen Daniels,TE,DEN,KC,0,
445,Jason Avant,WR,KC,Den,0,
446,Brandon Marshall,WR,NYG,** BYE **,--,00-0024334
447,Delanie Walker,TE,TEN,** BYE **,--,00-0024389
448,Bruce Gradkowski,QB,PIT,Det,0,
449,Marques Colston,WR,NO,Chi,0,
450,Miles Austin,WR,PHI,SF,0,
451,Fred Jackson,RB,SEA,Hou,0,
452,Daniel Fells,TE,NYG,** BYE **,--,
453,Calvin Johnson,WR,DET,Pit,0,
454,Adrian Peterson,RB,ARI,** BYE **,--,00-0025394
455,Marshawn Lynch,RB,OAK,Buf,0,00-0025399
456,Dwayne Bowe,WR,CLE,Min,0,
457,Greg Olsen,TE,CAR,TB,0,00-0025418
458,Drew Stanton,QB,ARI,** BYE **,--,00-0025430
459,Jacoby Jones,WR,PIT,Det,0,
460,Matt Spaeth,TE,PIT,Det,0,
461,James Jones,WR,LAC,NE,0,
462,Scott Chandler,TE,NE,LAC,0,
463,Nick Folk,K,TB,Car,0,00-0025565
464,Mason Crosby,K,GB,** BYE **,--,00-0025580
465,Clark Harris,TE,CIN,Ind,0,00-0025630
466,Ahmad Bradshaw,RB,IND,Cin,0,
467,Pierre Thomas,RB,WSH,Dal,0,
468,Darren McFadden,RB,DAL,Wsh,0,00-0026144
469,Chris Johnson,RB,ARI,** BYE **,--,
470,Jordy Nelson,WR,GB,** BYE **,--,00-0026176
471,Eddie Royal,WR,CHI,NO,0,
472,Jerome Simpson,WR,SF,Phi,0,
473,Fred Davis,TE,WSH,Dal,0,
474,Chad Henne,QB,JAX,** BYE **,--,00-0026197
475,Martellus Bennett,TE,GB,** BYE **,--,00-0026201
476,Harry Douglas,WR,TEN,** BYE **,--,00-0026224
477,Craig Stevens,TE,TEN,** BYE **,--,
478,Andre Jerome Caldwell,WR,DET,Pit,0,
479,Gary Barnidge,TE,CLE,Min,0,
480,Jerome Felton,RB,BUF,Oak,0,
481,Jacob Tamme,TE,ATL,NYJ,0,
482,Tim Hightower,RB,SF,Phi,0,
483,Matthew Slater,WR,NE,LAC,0,00-0026293
484,Kellen Davis,TE,NYJ,Atl,0,
485,Josh Johnson,QB,NYG,** BYE **,--,
486,Matt Flynn,QB,NO,Chi,0,
487,Stevie Johnson,WR,LAC,NE,0,
488,Justin Forsett,RB,DEN,KC,0,
489,Garrett Hartley,K,PIT,Det,0,
490,Dan Carpenter,K,BUF,Oak,0,
491,Matthew Mulligan,TE,DET,Pit,0,
492,Marcel Reece,RB,SEA,Hou,0,
493,Danny Woodhead,RB,BAL,Mia,0,00-0026019
494,Josh Freeman,QB,IND,Cin,0,
495,Mark Sanchez,QB,CHI,NO,0,00-0026898
496,Donald Brown,RB,NE,LAC,0,
497,Arian Foster,RB,MIA,Bal,0,
498,Rashad Jennings,RB,NYG,** BYE **,--,
499,David Johnson,TE,PIT,Det,0,
500,Jorvorskie Lane,RB,TB,Car,0,
501,Cedric Peerman,RB,CIN,Ind,0,00-0026932
502,Marcus Thigpen,RB,BUF,Oak,0,
503,James Casey,TE,DEN,KC,0,
504,Chase Coffman,TE,IND,Cin,0,
505,Bear Pascoe,TE,NE,LAC,0,
506,Brandon Pettigrew,TE,DET,Pit,0,
507,John Phillips,TE,NO,Chi,0,
508,Brandon Gibson,WR,NE,LAC,0,
509,Brian Hartline,WR,CLE,Min,0,
510,Percy Harvin,WR,BUF,Oak,0,
511,Louis Murphy,WR,SF,Phi,0,
512,Hakeem Nicks,WR,NO,Chi,0,
513,Jordan Norwood,WR,DEN,KC,0,
514,Kevin Ogletree,WR,NYG,** BYE **,--,
515,Julian Edelman,WR,NE,LAC,0,00-0027150
516,Brandon Myers,TE,TB,Car,0,
517,Ryan Succop,K,TEN,** BYE **,--,00-0026968
518,Darrel Young,RB,CAR,TB,0,
519,Antone Smith,RB,TB,Car,0,
520,Sam Bradford,QB,MIN,Cle,0,00-0027854
521,Jimmy Clausen,QB,BAL,Mia,0,
522,Dan LeFevour,QB,TB,Car,0,
523,C.J. Spiller,RB,KC,Den,0,00-0027861
524,Ryan Mathews,RB,PHI,SF,0,
525,Dexter McCluster,RB,LAC,NE,0,
526,Ben Tate,RB,PIT,Det,0,
527,Toby Gerhart,RB,JAX,** BYE **,--,
528,Boobie Dixon,RB,BUF,Oak,0,
529,James Starks,RB,GB,** BYE **,--,
530,Arrelious Benn,WR,JAX,** BYE **,--,00-0027654
531,Marcus Easley,WR,BUF,Oak,0,
532,Riley Cooper,WR,PHI,SF,0,
533,Jermaine Gresham,TE,ARI,** BYE **,--,00-0027873
534,Dennis Pitta,TE,BAL,Mia,0,
535,Eric Decker,WR,TEN,** BYE **,--,00-0027690
536,Tony Moeaki,TE,CHI,NO,0,
537,Emmanuel Sanders,WR,DEN,KC,0,00-0027685
538,Jim Dray,TE,ARI,** BYE **,--,
539,Garrett Graham,TE,DEN,KC,0,
540,Clay Harbor,TE,NO,Chi,0,00-0027725
541,Marc Mariani,WR,TEN,** BYE **,--,
542,Anthony McCoy,TE,SEA,Hou,0,
543,Andrew Quarless,TE,DET,Pit,0,
544,Joe Webb,QB,BUF,Oak,0,00-0027796
545,Kyle Williams,WR,NYJ,Atl,0,
546,Mike Williams,WR,KC,Den,0,00-0033536
547,Seyi Ajirotutu,WR,PHI,SF,0,
548,Joique Bell,RB,DET,Pit,0,
549,Richie Brockel,TE,CAR,TB,0,
550,Victor Cruz,WR,CHI,NO,0,
551,Jeff Cumberland,TE,LAC,NE,0,
552,Chris Ivory,RB,JAX,** BYE **,--,00-0027531
553,Thaddeus Lewis,QB,BAL,Mia,0,
554,Marlon Moore,WR,CLE,Min,0,
555,Bryan Walters,WR,JAX,** BYE **,--,
556,Preston Parker,WR,FA,** BYE **,--,
557,Logan Paulsen,TE,SF,Phi,0,00-0027215
558,Danario Alexander,WR,LAC,NE,0,
559,Tyler Clutts,RB,DAL,Wsh,0,
560,Andrew Hawkins,WR,CLE,Min,0,
561,Christian Ponder,QB,SF,Phi,0,
562,Blaine Gabbert,QB,ARI,** BYE **,--,00-0027948
563,Colin Kaepernick,QB,SF,Phi,0,
564,DeMarco Murray,RB,TEN,** BYE **,--,00-0028009
565,Lance Kendricks,TE,GB,** BYE **,--,00-0027985
566,Rob Housler,TE,NE,LAC,0,
567,Leonard Hankerson,WR,BUF,Oak,0,
568,Greg Little,WR,BUF,Oak,0,
569,Vincent Brown,WR,NO,Chi,0,
570,Stevan Ridley,RB,MIN,Cle,0,
571,Ryan Williams,RB,DAL,Wsh,0,
572,Daniel Thomas,RB,MIA,Bal,0,
573,Bruce Miller,TE,SF,Phi,0,
574,Dwayne Harris,WR,NYG,** BYE **,--,00-0028114
575,David Ausberry,TE,DET,Pit,0,
576,Greg Salas,WR,BUF,Oak,0,
577,T.J. Yates,QB,BUF,Oak,0,
578,Charles Clay,TE,BUF,Oak,0,00-0028112
579,Denarius Moore,WR,BUF,Oak,0,
580,D.J. Williams,TE,WSH,Dal,0,
581,Kendall Hunter,RB,NO,Chi,0,
582,Cecil Shorts III,WR,TB,Car,0,
583,Jordan Todman,RB,HOU,Sea,0,00-0028121
584,Jordan Cameron,TE,MIA,Bal,0,
585,Roy Helu Jr.,RB,OAK,Buf,0,
586,DuJuan Harris,RB,JAX,** BYE **,--,
587,Jerrod Johnson,QB,DAL,Wsh,0,
588,Ricardo Lockette,WR,SEA,Hou,0,
589,Dan Bailey,K,DAL,Wsh,0,00-0028660
590,Matt Asiata,RB,DET,Pit,0,
591,Joe Morgan,WR,BAL,Mia,0,
592,Jeremy Ross,WR,ARI,** BYE **,--,
593,Shaun Draughn,RB,NYG,** BYE **,--,
594,Chase Reynolds,RB,LA,** BYE **,--,
595,Will Johnson,RB,NYG,** BYE **,--,
596,Andrew Luck,QB,IND,Cin,0,00-0029668
597,Robert Griffin III,QB,CLE,Min,0,
598,Ryan Tannehill,QB,MIA,Bal,0,00-0029701
599,Brandon Weeden,QB,TEN,** BYE **,--,00-0029677
600,Brock Osweiler,QB,DEN,KC,0,00-0029682
601,Kellen Moore,QB,DAL,Wsh,0,00-0029234
602,Ryan Lindley,QB,IND,Cin,0,
603,Trent Richardson,RB,BAL,Mia,0,
604,Isaiah Pead,RB,MIA,Bal,0,
605,Chris Polk,RB,HOU,Sea,0,
606,LaMike James,RB,MIA,Bal,0,
607,Bernard Pierce,RB,DEN,KC,0,
608,Robert Turbin,RB,IND,Cin,0,00-0029273
609,Ronnie Hillman,RB,DAL,Wsh,0,
610,Cyrus Gray,RB,ATL,NYJ,0,
611,Vick Ballard,RB,NO,Chi,0,
612,Orson Charles,TE,KC,Den,0,
613,Ladarius Green,TE,PIT,Det,0,
614,Justin Blackmon,WR,JAX,** BYE **,--,00-0029707
615,Stephen Hill,WR,CAR,TB,0,
616,Rueben Randle,WR,CHI,NO,0,
617,Brian Quick,WR,WSH,Dal,0,00-0029640
618,Keshawn Martin,WR,DET,Pit,0,
619,Trevor Graham,WR,CAR,TB,0,
620,Nick Toon,WR,LA,** BYE **,--,
621,DeVier Posey,WR,DEN,KC,0,
622,Greg Zuerlein,K,LA,** BYE **,--,00-0029621
623,Rhett Ellison,TE,NYG,** BYE **,--,00-0029587
624,LaVon Brazill,WR,IND,Cin,0,
625,Daniel Herron,RB,BUF,Oak,0,
626,Chris Givens,WR,PHI,SF,0,
627,Bryce Brown,RB,SEA,Hou,0,
628,Rishard Matthews,WR,TEN,** BYE **,--,00-0029580
629,Daryl Richardson,RB,IND,Cin,0,
630,Greg Scruggs,TE,NE,LAC,0,
631,Kashif Moore,WR,KC,Den,0,
632,Nathan Palmer,WR,OAK,Buf,0,
633,Cory Harkey,RB,LA,** BYE **,--,
634,Chris Owusu,WR,NYJ,Atl,0,
635,Brian Tyms,WR,IND,Cin,0,
636,Phillip Supernaw,TE,TEN,** BYE **,--,00-0028987
637,Joe Banyard,RB,BUF,Oak,0,00-0029048
638,Jeff Fuller,WR,SEA,Hou,0,
639,Derrick Coleman,RB,ATL,NYJ,0,00-0029068
