,Player,Position,Team,Opponent,ESPN_FantasyPoints,PlayerID
878,Tyler Murphy,WR,MIA,Bal,0,
879,Bradley Marquez,WR,LA,** BYE **,--,00-0031818
880,Wes Saxton,TE,BUF,Oak,0,
881,Will Tye,TE,NYJ,Atl,0,
882,Donteea Dye,WR,TB,Car,0,
883,Trey Williams,RB,PIT,Det,0,
884,Javontee Herndon,WR,DAL,Wsh,0,
885,Daniel Brown,TE,CHI,NO,0,00-0032098
886,Eric Rogers,WR,SF,Phi,0,
887,Jared Goff,QB,LA,** BYE **,--,00-0033106
888,Corey Coleman,WR,CLE,Min,0,00-0032966
889,Derrick Henry,RB,TEN,** BYE **,--,00-0032764
890,Christian Hackenberg,QB,NYJ,Atl,0,00-0032953
891,Tyler Boyd,WR,CIN,Ind,0,00-0033009
892,Roberto Aguayo,K,CHI,NO,0,
893,Braxton Miller,WR,HOU,Sea,0,00-0033069
894,Connor Cook,QB,OAK,Buf,0,00-0032893
895,Chris Moore,WR,BAL,Mia,0,00-0032398
896,Tyler Higbee,TE,LA,** BYE **,--,00-0033110
897,Malcolm Mitchell,WR,NE,LAC,0,00-0032400
898,Tyler Ervin,RB,HOU,Sea,0,00-0032404
899,Kenneth Dixon,RB,BAL,Mia,0,00-0032411
900,Cardale Jones,QB,LAC,NE,0,00-0033098
901,Tajae Sharpe,WR,TEN,** BYE **,--,00-0032778
902,Paul Perkins,RB,NYG,** BYE **,--,00-0032417
903,Jordan Payton,WR,CLE,Min,0,
904,Jonathan Williams,RB,BUF,Oak,0,
905,Kevin Hogan,QB,CLE,Min,0,00-0032784
906,Temarrick Hemingway,TE,LA,** BYE **,--,00-0033112
907,Moritz Bohringer,WR,MIN,Cle,0,
908,Keenan Reynolds,WR,BAL,Mia,0,
909,Jerell Adams,TE,NYG,** BYE **,--,00-0032429
910,Nate Sudfeld,QB,WSH,Dal,0,
911,Kolby Listenbee,WR,BUF,Oak,0,
912,Danny Vitale,RB,CLE,Min,0,00-0032794
913,Brandon Allen,QB,LA,** BYE **,--,00-0032434
914,Michael Thomas,WR,LA,** BYE **,--,00-0032765
915,Jeff Driskel,QB,CIN,Ind,0,00-0032436
916,Kelvin Taylor,RB,ATL,NYJ,0,
917,Aaron Burbridge,WR,SF,Phi,0,00-0032441
918,Darius Jackson,RB,CLE,Min,0,00-0033049
919,Rico Gathers,TE,DAL,Wsh,0,00-0033054
920,Brandon Doughty,QB,MIA,Bal,0,
921,Devin Lucien,WR,NE,LAC,0,
922,Demarcus Ayers,WR,PIT,Det,0,
923,Daniel Braverman,WR,CHI,NO,0,
924,Thomas Duarte,TE,MIA,Bal,0,
925,Daniel Lasco,RB,NO,Chi,0,
926,Devin Lewis Fuller,WR,ATL,NYJ,0,
927,Charone Peake,WR,NYJ,Atl,0,00-0032959
928,Keith Marshall,RB,WSH,Dal,0,00-0032806
929,Kenny Lawler,WR,SEA,Hou,0,
930,Zac Brooks,RB,SEA,Hou,0,
931,Beau Sandland,TE,GB,** BYE **,--,
932,Trevone Boykin,QB,SEA,Hou,0,
933,Ben Braunecker,TE,CHI,NO,0,
934,Cole Wick,TE,DET,Pit,0,
935,Taylor Heinicke,QB,MIN,Cle,0,
936,Matt LaCosse,TE,NYG,** BYE **,--,00-0031744
937,Erik Swoope,TE,IND,Cin,0,00-0030854
938,Brandon Wilds,RB,CLE,Min,0,
939,Jhurell Pressley,RB,ATL,NYJ,0,
940,Anthony Denham,TE,PHI,SF,0,
941,Byron Marshall,RB,PHI,SF,0,
942,Max McCaffrey,WR,JAX,** BYE **,--,00-0032937
943,Reggie Bell,WR,NO,Chi,0,
944,Jake Kumerow,WR,CIN,Ind,0,
945,George Atkinson III,RB,OAK,Buf,0,
946,James Wilder Jr.,RB,BUF,Oak,0,
947,D.J. Foster,RB,ARI,** BYE **,--,00-0032577
948,Bryce Williams,TE,CAR,TB,0,
949,Marquez North,WR,LA,** BYE **,--,
950,Andy Jones,WR,HOU,Sea,0,
951,Roger Lewis,WR,NYG,** BYE **,--,00-0032659
952,Xavier Rush,WR,NO,Chi,0,
953,Dom Williams,WR,PHI,SF,0,00-0032915
954,Damiere Byrd,WR,CAR,TB,0,00-0031868
955,R.J. Harris,WR,NO,Chi,0,
956,Paul McRoberts,WR,LA,** BYE **,--,
957,Wendall Williams,WR,HOU,Sea,0,
958,Anthony Dable,WR,ATL,NYJ,0,
959,Darius Jennings,WR,TEN,** BYE **,--,00-0031972
960,Devon Cajuste,WR,SF,Phi,0,
961,Mitch Mathews,WR,MIA,Bal,0,
962,Stephen Morris,QB,IND,Cin,0,
963,Dreamius Smith,RB,LAC,NE,0,
964,Devon Johnson,RB,CAR,TB,0,
965,Keyarris Garrett,WR,CAR,TB,0,
966,Jalin Marshall,WR,NYJ,Atl,0,
967,Alan Cross,TE,TB,Car,0,
968,Braedon Bowman,TE,NO,Chi,0,
969,Tanner McEvoy,WR,SEA,Hou,0,00-0032475
970,Brian Parker,TE,NYJ,Atl,0,
971,Troymaine Pope,RB,IND,Cin,0,
972,Glenn Gronkowski,RB,NE,LAC,0,
973,Joe Callahan,QB,GB,** BYE **,--,00-0032630
974,Johnny Holton,WR,OAK,Buf,0,00-0032935
975,Julian Howsare,RB,NYJ,Atl,0,
976,Kenneth Farrow,RB,LAC,NE,0,00-0032902
977,Nelson Spruce,WR,LA,** BYE **,--,
978,Joshua Perkins,TE,ATL,NYJ,0,
979,Paul Lasike,RB,CHI,NO,0,
980,Scott Simonson,TE,CAR,TB,0,00-0031167
981,Xavier Grimble,TE,PIT,Det,0,00-0031035
982,Peyton Barber,RB,TB,Car,0,00-0032741
983,Don Jackson,RB,GB,** BYE **,--,
984,Geronimo Allison,WR,GB,** BYE **,--,00-0032626
985,Paul Turner,WR,PHI,SF,0,
986,George Farmer,RB,SEA,Hou,0,
987,Mack Brown,RB,WSH,Dal,0,00-0032048
988,D.J. Tialavea,TE,ATL,NYJ,0,
989,Matt Lengel,TE,NE,LAC,0,
990,Alex Ellis,TE,JAX,** BYE **,--,
991,Aldrick Rosas,K,NYG,** BYE **,--,00-0032870
992,Chad Williams,WR,ARI,** BYE **,--,00-0033933
993,Donnel Pumphrey,RB,PHI,SF,0,
994,De'Angelo Henderson,RB,DEN,KC,0,00-0033581
995,Jonnu Smith,TE,TEN,** BYE **,--,00-0033858
996,Elijah Hood,RB,OAK,Buf,0,
997,Brad Kaaya,QB,DET,Pit,0,00-0033585
998,Chad Kelly,QB,DEN,KC,0,
999,Marquez Williams,RB,JAX,** BYE **,--,
1000,Josh Reynolds,WR,LA,** BYE **,--,00-0033943
1001,Josh Malone,WR,CIN,Ind,0,00-0033859
1002,Leonard Fournette,RB,JAX,** BYE **,--,00-0033856
1003,Malachi Dupre,WR,GB,** BYE **,--,
1004,Taywan Taylor,WR,TEN,** BYE **,--,00-0033911
1005,Rodney Adams,WR,MIN,Cle,0,00-0033957
1006,Joshua Dobbs,QB,PIT,Det,0,00-0033949
1007,Wayne Gallman,RB,NYG,** BYE **,--,00-0033950
1008,Jake Butt,TE,DEN,KC,0,
1009,Mason Schreck,TE,CIN,Ind,0,00-0033798
1010,Jeremy Sprinkle,TE,WSH,Dal,0,00-0033528
1011,Dalvin Cook,RB,MIN,Cle,0,00-0033893
1012,David Moore,WR,SEA,Hou,0,
1013,T.J. Logan,RB,ARI,** BYE **,--,00-0033789
1014,Carlos Henderson,WR,DEN,KC,0,00-0033919
1015,Robert Davis,WR,WSH,Dal,0,
1016,Shelton Gibson,WR,PHI,SF,0,00-0033573
1017,Dede Westbrook,WR,JAX,** BYE **,--,00-0033839
1018,Aaron Jones,RB,GB,** BYE **,--,00-0033293
1019,Corey Davis,WR,TEN,** BYE **,--,00-0033871
1020,Bucky Hodges,TE,MIN,Cle,0,
1021,Sam Rogers,RB,LA,** BYE **,--,
1022,Isaiah Ford,WR,MIA,Bal,0,00-0033471
1023,Devante Mays,RB,GB,** BYE **,--,00-0033304
1024,Chris Carson,RB,SEA,Hou,0,00-0033594
1025,Eric Saubert,TE,ATL,NYJ,0,00-0033576
1026,Joe Williams,RB,SF,Phi,0,00-0033286
1027,Jamaal Williams,RB,GB,** BYE **,--,00-0033948
1028,Gerald Everett,TE,LA,** BYE **,--,00-0033895
1029,Evan Engram,TE,NYG,** BYE **,--,00-0033881
1030,Stacy Coley,WR,MIN,Cle,0,00-0033968
1031,Khalfani Muhammad,RB,TEN,** BYE **,--,
1032,Jeremy McNichols,RB,TB,Car,0,
1033,DeAngelo Yancey,WR,GB,** BYE **,--,
1034,Davis Webb,QB,NYG,** BYE **,--,00-0033550
1035,Brian Hill,RB,ATL,NYJ,0,
1036,Freddie Stevenson,RB,CHI,NO,0,
1037,Jace Billingsley,WR,DET,Pit,0,
1038,Ishmael Zamora,WR,OAK,Buf,0,
1039,Austin Carr,WR,NO,Chi,0,00-0033382
