,Player,Position,Team,Opponent,FantasyPoints,PlayerID
81,Cooper Kupp,WR,LA,JAX,8.25,00-0033908
82,Will Fuller,WR,HOU,CLE,8.52,00-0033127
83,Jamison Crowder,WR,WAS,SF,8.09,00-0031941
84,Ricardo Louis,WR,CLE,HOU,7.99,00-0033079
85,Mike Wallace,WR,BAL,CHI,8.26,00-0026901
86,Jaron Brown,WR,ARI,TB,8.01,00-0030300
87,Taylor Gabriel,WR,ATL,MIA,7.97,00-0031228
88,Martavis Bryant,WR,PIT,KC,7.97,00-0031373
89,Ted Ginn,WR,NO,DET,7.98,00-0025396
90,JJ Nelson,WR,ARI,TB,8.01,00-0032112
91,Sammy Watkins,WR,LA,JAX,7.76,00-0031325
92,Kenny Stills,WR,MIA,ATL,7.87,00-0030085
93,Robby Anderson,WR,NYJ,NE,7.79,00-0032688
94,Travis Rudolph,WR,NYG,DEN,7.57,00-0033717
95,Adam Humphries,WR,TB,ARI,7.12,00-0032009
96,Travis Kelce,TE,KC,PIT,11.28,00-0030506
97,Delanie Walker,TE,TEN,IND,10.16,00-0024389
98,Jordan Reed,TE,WAS,SF,9.63,00-0030472
99,Evan Engram,TE,NYG,DEN,8.62,00-0033881
100,Kyle Rudolph,TE,MIN,GB,8.33,00-0027981
101,Austin Seferian-Jenkins,TE,NYJ,NE,7.99,00-0031418
102,Cameron Brate,TE,TB,ARI,8.08,00-0031273
103,Jared Cook,TE,OAK,LAC,7.72,00-0027061
104,Martellus Bennett,TE,GB,MIN,7.39,00-0026201
105,Hunter Henry,TE,LAC,OAK,7.28,00-0033090
106,Zach Miller,TE,CHI,BAL,6.72,00-0027125
107,Coby Fleener,TE,NO,DET,6.8,00-0029697
108,George Kittle,TE,SF,WAS,6.6,00-0033288
109,Jack Doyle,TE,IND,TEN,6.3,00-0030181
110,Ed Dickson,TE,CAR,PHI,6.55,00-0027675
111,Ryan Griffin,TE,HOU,CLE,6.53,00-0030108
112,Eric Ebron,TE,DET,NO,6.23,00-0031387
113,Austin Hooper,TE,ATL,MIA,6.26,00-0032392
114,Benjamin Watson,TE,BAL,CHI,5.96,00-0022943
115,Julius Thomas,TE,MIA,ATL,5.86,00-0028067
116,Jesse James,TE,PIT,KC,5.54,00-0032135
117,Antonio Gates,TE,LAC,OAK,5.43,00-0021547
118,Jermaine Gresham,TE,ARI,TB,5.25,00-0027873
119,Tyler Higbee,TE,LA,JAX,4.81,00-0033110
120,AJ Derby,TE,DEN,NYG,4.47,00-0031609
121,David Njoku,TE,CLE,HOU,4.53,00-0033885
122,Marcedes Lewis,TE,JAX,LAR,4.47,00-0024243
123,Stephen Anderson,TE,HOU,CLE,4.39,00-0032725
124,Seth DeValve,TE,CLE,HOU,4.15,00-0033080
125,Darren Fells,TE,DET,NO,3.7,00-0029738
126,Vernon Davis,TE,WAS,SF,3.64,00-0024221
127,OJ Howard,TE,TB,ARI,3.55,00-0033879
128,Jonnu Smith,TE,TEN,IND,3.53,00-0033858
129,Nick Boyle,TE,BAL,CHI,3.07,00-0031598
130,Dion Sims,TE,CHI,BAL,2.71,00-0030422
131,Virgil Green,TE,DEN,NYG,2.63,00-0028142
132,Maxx Williams,TE,BAL,CHI,2.44,00-0031558
133,Rhett Ellison,TE,NYG,DEN,2.44,00-0029587
134,Josh Hill,TE,NO,DET,2.43,00-0030216
135,Gerald Everett,TE,LA,JAX,2.43,00-0033895
136,Garrett Celek,TE,SF,WAS,2.37,00-0028903
137,Trey Burton,TE,PHI,CAR,2.25,00-0030710
138,Demetrius Harris,TE,KC,PIT,2.23,00-0030155
139,Troy Niklas,TE,ARI,TB,2.19,00-0031044
140,Lance Kendricks,TE,GB,MIN,2.06,00-0027985
141,Vance McDonald,TE,PIT,KC,2.05,00-0030470
142,Levine Toilolo,TE,ATL,MIA,1.63,00-0030443
143,Anthony Fasano,TE,MIA,ATL,1.49,00-0024268
144,Todd Gurley,RB,LA,JAX,15.83,00-0032241
145,Leonard Fournette,RB,JAX,LAR,15.96,00-0033856
146,Devonta Freeman,RB,ATL,MIA,15.88,00-0031285
147,Melvin Gordon,RB,LAC,OAK,14.35,00-0032144
148,Mark Ingram,RB,NO,DET,13.76,00-0027966
149,Lamar Miller,RB,HOU,CLE,13.91,00-0029615
150,CJ Anderson,RB,DEN,NYG,13.71,00-0029854
151,DeMarco Murray,RB,TEN,IND,13.66,00-0028009
152,Alvin Kamara,RB,NO,DET,11.9,00-0033906
153,Christian McCaffrey,RB,CAR,PHI,10.95,00-0033280
154,Javorius Allen,RB,BAL,CHI,11.05,00-0031577
155,Jordan Howard,RB,CHI,BAL,11.99,00-0032780
156,Jay Ajayi,RB,MIA,ATL,11.7,00-0031590
157,Carlos Hyde,RB,SF,WAS,11.12,00-0031045
158,Doug Martin,RB,TB,ARI,11.47,00-0029613
159,Marshawn Lynch,RB,OAK,LAC,11.75,00-0025399
160,Ameer Abdullah,RB,DET,NO,10.99,00-0032104
161,Jerick McKinnon,RB,MIN,GB,10.61,00-0031376
162,Chris Thompson,RB,WAS,SF,10.36,00-0030404
163,Theo Riddick,RB,DET,NO,9.55,00-0030107
164,Tevin Coleman,RB,ATL,MIA,10.04,00-0032058
165,Mike Gillislee,RB,NE,NYJ,11.4,00-0030433
166,Andre Ellington,RB,ARI,TB,9.23,00-0030287
167,Duke Johnson,RB,CLE,HOU,9.17,00-0032257
168,Latavius Murray,RB,MIN,GB,9.63,00-0030513
169,James White,RB,NE,NYJ,8.34,00-0031062
170,Samaje Perine,RB,WAS,SF,9.89,00-0033526
171,Matt Forte,RB,NYJ,NE,9.07,00-0026184
172,Ty Montgomery,RB,GB,MIN,8.7,00-0032200
173,Aaron Jones,RB,GB,MIN,8.86,00-0033293
174,Jonathan Stewart,RB,CAR,PHI,9.11,00-0026153
175,Elijah McGuire,RB,NYJ,NE,8.21,00-0033295
176,Isaiah Crowell,RB,CLE,HOU,8.2,00-0030656
177,Frank Gore,RB,IND,TEN,7.89,00-0023500
178,Tarik Cohen,RB,CHI,BAL,7.11,00-0033556
179,LeGarrette Blount,RB,PHI,CAR,8.06,00-0027325
180,Shane Vereen,RB,NYG,DEN,6.48,00-0027994
181,Alex Collins,RB,BAL,CHI,7.74,00-0032426
182,Wayne Gallman,RB,NYG,DEN,6.57,00-0033950
183,Adrian Peterson,RB,ARI,TB,7.06,00-0025394
184,Matt Breida,RB,SF,WAS,6.06,00-0033308
185,Chris Ivory,RB,JAX,LAR,5.86,00-0027531
186,Derrick Henry,RB,TEN,IND,6.35,00-0032764
187,Deandre Washington,RB,OAK,LAC,5.38,00-0032940
188,Jalen Richard,RB,OAK,LAC,5.49,00-0033025
189,Jamaal Charles,RB,DEN,NYG,5.56,00-0026213
