,Player,Position,Team,Opponent,FantasyPoints,PlayerID
166,Austin Ekeler,RB,LAC,@OAK,3.0,00-0033699
167,Harrison Butker,K,KC,PIT,11.0,00-0033303
168,Wil Lutz,K,NO,DET,11.0,00-0032569
169,Justin Tucker,K,BAL,CHI,11.0,00-0029597
170,Ka'imi Fairbairn,K,HOU,CLE,9.0,00-0032726
171,Dustin Hopkins,K,WAS,SF,9.0,00-0030098
172,Brandon McManus,K,DEN,NYG,9.0,00-0029822
173,Patrick Murray,K,TB,@ARI,9.0,00-0030626
174,Giorgio Tavecchio,K,OAK,LAC,9.0,00-0028907
175,Chandler Catanzaro,K,NYJ,NE,8.0,00-0030896
176,Phil Dawson,K,ARI,TB,8.0,00-0004091
177,Jake Elliott,K,PHI,@CAR,8.0,00-0033787
178,Kai Forbath,K,MIN,GB,8.0,00-0028787
179,Robbie Gould,K,SF,@WAS,8.0,00-0023252
180,Matt Bryant,K,ATL,MIA,7.0,00-0020578
181,Stephen Gostkowski,K,NE,@NYJ,7.0,00-0024333
182,Cody Parkey,K,MIA,@ATL,7.0,00-0030850
183,Chris Boswell,K,PIT,@KC,6.0,00-0031136
184,Mason Crosby,K,GB,@MIN,6.0,00-0025580
185,Graham Gano,K,CAR,PHI,6.0,00-0026858
186,Jason Myers,K,JAX,LAR,6.0,00-0031492
187,Nick Novak,K,LAC,@OAK,6.0,00-0023096
188,Matt Prater,K,DET,@NO,6.0,00-0023853
189,Ryan Succop,K,TEN,IND,6.0,00-0026968
190,Adam Vinatieri,K,IND,@TEN,6.0,00-0016919
191,Greg Zuerlein,K,LA,@JAC,6.0,00-0029621
192,Connor Barth,K,CHI,@BAL,5.0,00-0026138
193,Aldrick Rosas,K,NYG,@DEN,5.0,00-0032870
194,Zane Gonzalez,K,CLE,@HOU,2.0,00-0033862
