,Player,Position,Team,Salary,ESPN_FantasyPoints,FantasyData_FantasyPoints,FantasyFootball_FantasyPoints,CBS_FantasyPoints,AvgPointsPerGame,Avg,Max,Min
73,Jacoby Brissett,QB,IND,4900,12.4,13.57,23.3,13.0,14.037,15.976750000000001,23.3,13.0
74,James White,RB,NE,4900,10.4,8.35,4.5,8.0,11.970999999999998,8.20525,11.970999999999998,4.5
75,Mohamed Sanu,WR,ATL,4900,10.4,8.31,5.0,8.0,10.24,7.887500000000001,10.24,5.0
76,Austin Seferian-Jenkins,TE,NYJ,4900,10.6,8.36,11.0,9.0,12.06,10.105,12.06,8.36
77,Wendell Smallwood,RB,PHI,4900,11.4,9.31,4.5,5.0,7.16,6.492500000000001,9.31,4.5
78,Kenny Golladay,WR,DET,4900,10.3,,4.5,8.0,9.733,7.4110000000000005,9.733,4.5
79,Corey Coleman,WR,CLE,4800,0,,,,9.1,9.1,9.1,9.1
80,EJ Manuel,QB,OAK,4800,0.1,0.22,,0.0,7.55,2.59,7.55,0.0
81,Tyrell Williams,WR,LAC,4800,8.3,7.94,5.5,7.0,8.4,7.210000000000001,8.4,5.5
82,Hunter Henry,TE,LAC,4800,13.2,9.55,12.0,9.0,9.014,9.891,12.0,9.0
83,Bilal Powell,RB,NYJ,4800,10.8,8.98,6.5,10.0,11.583,9.26575,11.583,6.5
84,Jermaine Kearse,WR,NYJ,4800,10.1,7.5,4.5,9.0,11.970999999999998,8.24275,11.970999999999998,4.5
85,Brian Hoyer,QB,SF,4800,0.1,0.31,,0.0,12.25,4.1866666666666665,12.25,0.0
86,AJ McCarron,QB,CIN,4700,0.1,0.23,,0.0,0.0,0.07666666666666667,0.23,0.0
87,Joe Mixon,RB,CIN,4700,13.4,12.28,16.5,13.0,8.883,12.66575,16.5,8.883
88,Ted Ginn Jr.,WR,NO,4700,7.9,9.49,5.0,9.0,12.583,9.01825,12.583,5.0
89,Colt McCoy,QB,WAS,4700,,0.22,,0.0,0.0,0.07333333333333333,0.22,0.0
90,Jordan Reed,TE,WAS,4700,,9.52,11.0,9.0,11.72,10.31,11.72,9.0
91,Kevin Hogan,QB,CLE,4600,0,0.3,,0.0,9.695,3.331666666666667,9.695,0.0
