Player,Position,Team,Opponent,Pass Yds,Pass Yds,Pass Interceptions,Rush Yds,Rush TD,Receptions,Receiving Yds,Receiving TD,Sacks,Received Interceptions,Fumbles Forced,Fumbles Rec,Points
Chris Cooley,TE,WAS,NYG,8,7,88,68,1,17,9,10,0,0,0,1,19.80
Jeremy Shockey,TE,NO,DET,4,4,100,31,2,15,8,8,0,0,0,0,19.10
Todd Heap,TE,BAL,KC,8,5,63,74,1,24,9,15,0,0,0,0,18.40
Tony Gonzalez,TE,ATL,MIA,9,5,56,73,1,20,8,15,0,0,0,0,18.30
Robert Royal,TE,CLE,MIN,9,4,44,60,1,26,7,15,0,0,0,0,16.00
Brent Celek,TE,PHI,CAR,7,6,86,37,1,9,5,6,0,0,0,0,15.70
Zach Miller,TE,OAK,LAC,6,6,100,96,0,30,16,16,0,0,0,0,15.60
Kellen Winslow,TE,TB,DAL,9,5,56,30,1,19,3,6,1,7,0,0,14.70
Heath Miller,TE,PIT,TEN,8,8,100,64,0,14,8,8,0,0,0,0,14.40
Dustin Keller,TE,NYJ,HOU,7,4,57,94,0,40,13,24,0,0,0,0,13.40
Antonio Gates,TE,LAC,OAK,9,5,56,83,0,25,9,17,0,0,0,0,13.30
Jason Witten,TE,DAL,TB,7,5,71,71,0,20,10,14,0,0,0,0,12.10
Shawn Nelson,TE,BUF,NE,4,2,50,13,1,11,3,7,0,0,0,0,9.30
Kevin Boss,TE,NYG,WAS,3,3,100,62,0,27,21,21,0,0,0,0,9.20
Vernon Davis,TE,SF,ARI,7,5,71,40,0,19,6,8,0,0,0,0,9.00
Bo Scaife,TE,TEN,PIT,6,5,83,48,0,20,8,10,0,0,0,1,8.80
Owen Daniels,TE,HOU,NYJ,8,4,50,44,0,27,6,11,0,0,0,0,8.40
Randy McMichael,TE,LAR,SEA,7,4,57,44,0,18,6,11,0,0,0,0,8.40
Jerramy Stevens,TE,TB,DAL,5,4,80,41,0,17,8,10,0,0,0,0,8.10
Sean Ryan,TE,KC,BAL,5,1,20,10,1,10,2,10,0,0,0,0,8.00
Dallas Clark,TE,IND,JAX,6,4,67,39,0,21,7,10,0,0,0,0,7.90
Derek Schouman,TE,BUF,NE,4,3,75,41,0,23,10,14,0,0,0,0,7.10
Daniel Graham,TE,DEN,CIN,3,3,100,40,0,20,13,13,0,0,0,0,7.00
Visanthe Shiancoe,TE,MIN,CLE,3,3,100,26,0,13,9,9,0,0,0,0,5.60
Marcedes Lewis,TE,JAX,IND,6,3,50,23,0,19,4,8,0,0,0,0,5.30
Tony Scheffler,TE,DEN,CIN,2,1,50,29,0,29,15,29,0,0,0,0,3.90
Donald Lee,TE,GB,CHI,3,3,100,8,0,7,3,3,0,0,0,0,3.80
Steve Heiden,TE,CLE,MIN,2,2,100,14,0,7,7,7,0,0,0,0,3.40
Desmond Clark,TE,CHI,GB,4,1,25,23,0,23,6,23,0,0,0,0,3.30
Joey Haynos,TE,MIA,ATL,1,1,100,21,0,21,21,21,0,0,0,0,3.10
Delanie Walker,TE,SF,ARI,3,1,33,17,0,17,6,17,0,0,0,0,2.70
Daniel Coats,TE,CIN,DEN,2,1,50,16,0,16,8,16,0,0,0,0,2.60
David Thomas,TE,NO,DET,1,1,100,15,0,15,15,15,0,0,0,0,2.50
Alge Crumpler,TE,TEN,PIT,3,2,67,5,0,3,2,3,0,0,0,0,2.50
Martellus Bennett,TE,DAL,TB,2,1,50,13,0,13,7,13,0,0,0,0,2.30
Tony Stewart,TE,OAK,LAC,1,1,100,13,0,13,13,13,0,0,0,0,2.30
Casey Fitzsimmons,TE,DET,NO,1,1,100,11,0,11,11,11,0,0,0,0,2.10
Daniel Fells,TE,LAR,SEA,1,1,100,9,0,9,9,9,0,0,0,0,1.90
Greg Olsen,TE,CHI,GB,6,1,17,8,0,8,1,8,0,0,0,0,1.80
Deon Butler,TE,SEA,LAR,3,1,33,7,0,7,2,7,0,0,0,0,1.70
Chris Baker,TE,NE,BUF,1,1,100,7,0,7,7,7,0,0,0,0,1.70
Jacob Tamme,TE,IND,JAX,1,1,100,6,0,6,6,6,0,0,0,0,1.60
Jermichael Finley,TE,GB,CHI,1,1,100,6,0,6,6,6,0,0,0,0,1.60
Gijon Robinson,TE,IND,JAX,1,1,100,4,0,4,4,4,0,0,0,0,1.40
JP Foschi,TE,CIN,DEN,1,1,100,3,0,3,3,3,0,0,0,0,1.30
Jeff King,TE,CAR,PHI,2,1,50,2,0,2,1,2,0,0,0,0,1.20
Anthony Fasano,TE,MIA,ATL,3,2,67,10,0,10,3,5,0,0,0,2,1.00
Brandon Manumaleuna,TE,LAC,OAK,1,1,100,-2,0,-2,-2,-2,0,0,0,0,0.80
