gameKey,season,day,month,time,weekDay,week,year,home,away,scoreHome,scoreAway,homeFirstDowns,homeTotalYards,homePassingYards,homeRushingYards,homePenaltyCount,homePenaltyYards,homeTurnovers,homePuntCount,homePuntYards,homePuntAvg,homePossessionTime,awayFirstDowns,awayTotalYards,awayPassingYards,awayRushingYards,awayPenaltyCount,awayPenaltyYards,awayTurnovers,awayPuntYards,awayPuntAvg,awayPossessionTime
54566,REG,25,10,4:15,Sun,7,2009,DAL,ATL,37,21,18,414,299,115,8,50,1,3,135,42,1732,21,298,174,124,3,30,3,5,230,31,1868
54567,REG,25,10,4:15,Sun,7,2009,MIA,NO,34,46,17,334,197,137,8,55,3,6,280,43,1618,22,414,276,138,6,25,4,3,137,37,1982
54568,REG,25,10,8:20,Sun,7,2009,NYG,ARI,17,24,15,327,220,107,7,30,4,7,241,34,1816,15,288,216,72,7,60,2,8,354,41,1784
54569,REG,26,10,8:30,Mon,7,2009,WAS,PHI,17,27,21,308,246,62,6,60,4,7,302,36,1903,11,262,140,122,12,66,0,8,276,33,1697
54570,REG,1,11,1:00,Sun,8,2009,BAL,DEN,30,7,16,292,167,125,8,94,0,4,177,38,2017,17,200,134,66,6,35,1,8,307,36,1583
54571,REG,1,11,1:00,Sun,8,2009,BUF,HOU,10,31,9,204,107,97,4,36,2,6,288,33,1252,24,439,253,186,5,45,3,1,39,39,2348
54572,REG,1,11,1:00,Sun,8,2009,CHI,CLE,30,6,20,369,199,170,5,35,1,5,152,30,2245,9,191,74,117,3,30,5,6,272,38,1355
54573,REG,1,11,1:00,Sun,8,2009,DAL,SEA,38,17,26,362,249,113,5,43,1,4,189,45,2085,18,308,229,79,6,53,2,6,242,21,1515
54574,REG,1,11,1:00,Sun,8,2009,DET,STL,10,17,17,289,162,127,8,67,1,7,324,43,1923,21,362,212,150,5,27,1,5,223,38,1677
54575,REG,1,11,4:15,Sun,8,2009,GB,MIN,26,38,21,351,261,90,6,45,0,5,216,36,1952,19,355,244,111,3,29,2,3,137,36,1648
54576,REG,1,11,1:00,Sun,8,2009,IND,SF,18,14,20,410,349,61,5,38,0,7,324,41,2014,16,295,182,113,7,50,2,8,400,46,1586
54577,REG,1,11,1:00,Sun,8,2009,NYJ,MIA,25,30,23,378,251,127,6,40,1,7,254,34,2046,10,104,52,52,4,25,1,7,362,42,1554
54578,REG,1,11,4:05,Sun,8,2009,SD,OAK,24,16,20,346,246,100,5,40,2,3,125,39,1829,13,180,81,99,6,31,1,4,213,44,1771
54579,REG,1,11,4:05,Sun,8,2009,TEN,JAC,30,13,20,430,125,305,4,20,0,4,193,43,2383,12,330,113,217,2,27,2,7,309,42,1217
54580,REG,1,11,4:15,Sun,8,2009,ARI,CAR,21,34,23,320,226,94,5,35,6,4,210,41,1622,13,355,85,270,7,72,0,6,282,39,1978
54581,REG,1,11,1:00,Sun,8,2009,PHI,NYG,40,17,17,391,211,180,5,45,2,3,142,44,1467,21,356,215,141,4,25,3,3,114,28,2133
54582,REG,2,11,8:30,Mon,8,2009,NO,ATL,35,27,23,437,291,146,7,65,4,2,89,40,1994,21,442,281,161,4,25,3,3,116,38,1606
54583,REG,8,11,1:00,Sun,9,2009,ATL,WAS,31,17,18,306,125,181,7,54,1,3,126,43,1588,17,312,176,136,10,88,1,3,150,46,2012
54584,REG,8,11,1:00,Sun,9,2009,CHI,ARI,21,41,20,417,347,70,9,89,1,4,161,36,1604,27,438,256,182,2,15,1,4,166,41,1996
54585,REG,8,11,1:00,Sun,9,2009,CIN,BAL,17,7,20,369,223,146,6,40,1,5,232,40,2400,16,215,160,55,7,80,2,5,249,41,1200
54586,REG,8,11,1:00,Sun,9,2009,IND,HOU,20,17,27,378,306,72,4,40,2,3,98,33,1527,22,382,301,81,13,103,3,4,174,42,2073
54587,REG,8,11,1:00,Sun,9,2009,JAC,KC,24,21,21,426,253,173,5,31,1,4,157,34,2173,14,301,241,60,1,10,0,7,326,40,1427
54588,REG,8,11,1:00,Sun,9,2009,NE,MIA,27,17,22,432,323,109,5,49,1,3,104,35,1733,21,334,201,133,3,35,0,5,209,41,1867
54589,REG,8,11,1:00,Sun,9,2009,TB,GB,38,28,17,279,198,81,2,15,1,7,296,37,1483,20,404,234,170,5,35,3,7,247,28,2117
54590,REG,8,11,4:05,Sun,9,2009,NO,CAR,30,20,18,414,330,84,7,55,2,3,116,39,1654,21,371,189,182,6,37,3,3,112,36,1946
54591,REG,8,11,4:05,Sun,9,2009,SEA,DET,32,20,25,397,342,55,6,45,2,3,109,36,1842,17,300,186,114,9,77,5,2,105,45,1758
54592,REG,8,11,4:15,Sun,9,2009,NYG,SD,20,21,19,304,188,116,9,104,1,5,176,35,2267,18,226,192,34,3,20,2,5,184,34,1333
