,Position,Player,Salary,Opponent,AvgPointsPerGame,Team,PlayerID
82,QB,Ryan Fitzpatrick,5000,TB@BUF 10/22/2017 01:00PM ET,11.2,TB,00-0023682
83,QB,Matt Cassel,5000,TEN@CLE 10/22/2017 01:00PM ET,3.24,TEN,00-0023662
84,QB,Kevin Hogan,5000,TEN@CLE 10/22/2017 01:00PM ET,9.695,CLE,00-0032784
85,QB,Jacoby Brissett,5000,JAX@IND 10/22/2017 01:00PM ET,14.527000000000001,IND,00-0033119
86,TE,Austin Seferian-Jenkins,5000,NYJ@MIA 10/22/2017 01:00PM ET,12.3,NYJ,00-0031418
87,QB,Case Keenum,5000,BAL@MIN 10/22/2017 01:00PM ET,14.572000000000001,MIN,00-0028986
88,RB,Joe Mixon,5000,CIN@PIT 10/22/2017 04:25PM ET,8.7,CIN,00-0033897
89,WR,Cole Beasley,5000,DAL@SF 10/22/2017 04:05PM ET,7.58,DAL,00-0029000
90,RB,James White,5000,ATL@NE 10/22/2017 08:30PM ET,11.35,NE,00-0031062
91,RB,Duke Johnson Jr.,4900,TEN@CLE 10/22/2017 01:00PM ET,13.767000000000001,CLE,00-0032257
92,QB,DeShone Kizer,4900,TEN@CLE 10/22/2017 01:00PM ET,11.927999999999999,CLE,00-0033899
93,WR,John Brown,4900,ARI@LAR 10/22/2017 01:00PM ET,10.45,ARI,00-0031051
94,QB,C.J. Beathard,4900,DAL@SF 10/22/2017 04:05PM ET,7.1,SF,00-0033936
95,TE,Jimmy Graham,4900,SEA@NYG 10/22/2017 04:25PM ET,8.98,SEA,00-0027696
96,WR,Taylor Gabriel,4900,ATL@NE 10/22/2017 08:30PM ET,7.5,ATL,00-0031228
97,WR,Nelson Agholor,4900,WAS@PHI 10/23/2017 08:30PM ET,12.683,PHI,00-0031549
98,WR,Corey Coleman,4800,TEN@CLE 10/22/2017 01:00PM ET,9.1,CLE,00-0032966
99,RB,Chris Ivory,4800,JAX@IND 10/22/2017 01:00PM ET,8.75,JAX,00-0027531
100,QB,Brian Hoyer,4800,DAL@SF 10/22/2017 04:05PM ET,12.25,SF,00-0026625
101,QB,Eli Manning,4800,SEA@NYG 10/22/2017 04:25PM ET,16.623,NYG,00-0022803
102,WR,Mohamed Sanu,4800,ATL@NE 10/22/2017 08:30PM ET,9.675,ATL,00-0029632
103,RB,Tevin Coleman,4800,ATL@NE 10/22/2017 08:30PM ET,12.64,ATL,00-0032058
104,TE,Jordan Reed,4800,WAS@PHI 10/23/2017 08:30PM ET,8.05,WAS,00-0030472
105,TE,Cameron Brate,4700,TB@BUF 10/22/2017 01:00PM ET,14.62,TB,00-0031273
106,RB,Tarik Cohen,4700,CAR@CHI 10/22/2017 01:00PM ET,12.29,CHI,00-0033556
107,QB,Blake Bortles,4700,JAX@IND 10/22/2017 01:00PM ET,13.552999999999999,JAX,00-0031407
108,QB,Jay Cutler,4700,NYJ@MIA 10/22/2017 01:00PM ET,10.456,MIA,00-0024226
109,WR,Jermaine Kearse,4700,NYJ@MIA 10/22/2017 01:00PM ET,12.317,NYJ,00-0029159
110,QB,Joe Flacco,4700,BAL@MIN 10/22/2017 01:00PM ET,8.302999999999999,BAL,00-0026158
111,QB,AJ McCarron,4700,CIN@PIT 10/22/2017 04:25PM ET,0.0,CIN,00-0031288
112,RB,Dion Lewis,4700,ATL@NE 10/22/2017 08:30PM ET,6.382999999999999,NE,00-0028087
113,QB,Colt McCoy,4700,WAS@PHI 10/23/2017 08:30PM ET,0.0,WAS,00-0027688
114,RB,Wendell Smallwood,4700,WAS@PHI 10/23/2017 08:30PM ET,7.475,PHI,00-0032782
115,TE,Greg Olsen,4600,CAR@CHI 10/22/2017 01:00PM ET,2.9,CAR,00-0025418
116,QB,Mitchell Trubisky,4600,CAR@CHI 10/22/2017 01:00PM ET,7.347,CHI,00-0033869
117,QB,Chase Daniel,4600,NO@GB 10/22/2017 01:00PM ET,0.0,NO,00-0026544
118,WR,Cooper Kupp,4600,ARI@LAR 10/22/2017 01:00PM ET,9.583,LA,00-0033908
119,WR,Corey Davis,4500,TEN@CLE 10/22/2017 01:00PM ET,7.15,TEN,00-0033871
120,QB,Joe Callahan,4500,NO@GB 10/22/2017 01:00PM ET,0.0,GB,00-0032630
121,QB,Matt Moore,4500,NYJ@MIA 10/22/2017 01:00PM ET,0.0,MIA,00-0025708
122,RB,Matt Forte,4500,NYJ@MIA 10/22/2017 01:00PM ET,9.575,NYJ,00-0026184
123,QB,Landry Jones,4500,CIN@PIT 10/22/2017 04:25PM ET,0.0,PIT,00-0030524
124,RB,James Conner,4500,CIN@PIT 10/22/2017 04:25PM ET,1.15,PIT,00-0033553
125,TE,Jason Witten,4500,DAL@SF 10/22/2017 04:05PM ET,12.18,DAL,00-0022127
126,QB,Cooper Rush,4500,DAL@SF 10/22/2017 04:05PM ET,0.0,DAL,00-0033662
127,QB,Cardale Jones,4500,DEN@LAC 10/22/2017 04:25PM ET,0.0,LAC,00-0033098
128,QB,Geno Smith,4500,SEA@NYG 10/22/2017 04:25PM ET,0.0,NYG,00-0030565
129,RB,Mike Gillislee,4500,ATL@NE 10/22/2017 08:30PM ET,8.667,NE,00-0030433
130,RB,LeGarrette Blount,4500,WAS@PHI 10/23/2017 08:30PM ET,10.183,PHI,00-0027325
131,QB,Mike Glennon,4400,CAR@CHI 10/22/2017 01:00PM ET,11.18,CHI,00-0030520
132,WR,Jaron Brown,4400,ARI@LAR 10/22/2017 01:00PM ET,9.067,ARI,00-0030300
133,WR,Sammy Watkins,4400,ARI@LAR 10/22/2017 01:00PM ET,8.7,LA,00-0031325
134,WR,Kenny Stills,4400,NYJ@MIA 10/22/2017 01:00PM ET,8.46,MIA,00-0030085
135,RB,Matt Breida,4400,DAL@SF 10/22/2017 04:05PM ET,5.083,SF,00-0033308
136,TE,Evan Engram,4400,SEA@NYG 10/22/2017 04:25PM ET,10.7,NYG,00-0033881
137,QB,Nick Foles,4400,WAS@PHI 10/23/2017 08:30PM ET,0.0,PHI,00-0029567
138,WR,Eric Decker,4300,TEN@CLE 10/22/2017 01:00PM ET,7.6,TEN,00-0027690
139,QB,Chad Henne,4300,JAX@IND 10/22/2017 01:00PM ET,-0.3,JAX,00-0026197
140,QB,Scott Tolzien,4300,JAX@IND 10/22/2017 01:00PM ET,3.32,IND,00-0028595
141,WR,Marqise Lee,4300,JAX@IND 10/22/2017 01:00PM ET,8.467,JAX,00-0031431
142,RB,T.J. Yeldon,4300,JAX@IND 10/22/2017 01:00PM ET,0.0,JAX,00-0032209
143,QB,Blaine Gabbert,4300,ARI@LAR 10/22/2017 01:00PM ET,0.0,ARI,00-0027948
144,RB,Andre Ellington,4300,ARI@LAR 10/22/2017 01:00PM ET,9.767000000000001,ARI,00-0030287
145,WR,Martavis Bryant,4300,CIN@PIT 10/22/2017 04:25PM ET,8.017000000000001,PIT,00-0031373
146,QB,Austin Davis,4300,SEA@NYG 10/22/2017 04:25PM ET,0.0,SEA,00-0028957
147,QB,Matt Schaub,4300,ATL@NE 10/22/2017 08:30PM ET,0.0,ATL,00-0022787
148,RB,Samaje Perine,4300,WAS@PHI 10/23/2017 08:30PM ET,5.92,WAS,00-0033526
149,WR,Adam Humphries,4200,TB@BUF 10/22/2017 01:00PM ET,9.76,TB,00-0032009
150,WR,Ricardo Louis,4200,TEN@CLE 10/22/2017 01:00PM ET,6.817,CLE,00-0033079
151,RB,Jamaal Williams,4200,NO@GB 10/22/2017 01:00PM ET,1.0,GB,00-0033948
152,QB,Sean Mannion,4200,ARI@LAR 10/22/2017 01:00PM ET,-0.22,LA,00-0032245
