Player,Position,Team,Opponent,Points
Miami Dolphins,DST,MIA,NYJ,5.00
Los Angeles Chargers,DST,LAC,KC,5.00
Oakland Raiders,DST,OAK,WAS,5.00
Los Angeles Rams,DST,LAR,SF,4.00
Philadelphia Eagles,DST,PHI,NYG,4.00
Denver Broncos,DST,DEN,BUF,4.00
Cleveland Browns,DST,CLE,IND,4.00
Atlanta Falcons,DST,ATL,DET,3.00
Tennessee Titans,DST,TEN,SEA,1.00
San Francisco 49ers,DST,SF,LAR,0.00
Carolina Panthers,DST,CAR,NO,0.00
Arizona Cardinals,DST,ARI,DAL,0.00
Tampa Bay Buccaneers,DST,TB,MIN,-1.00
Seattle Seahawks,DST,SEA,TEN,-1.00
Baltimore Ravens,DST,BAL,JAX,-4.00
