Player,Position,Team,Opponent,ESPN_FantasyPoints
Jake Elliott,K,PHI,Wsh,9.7
Jordan Matthews,WR,BUF,TB,9.7
Jermaine Kearse,WR,NYJ,Mia,9.7
Tarik Cohen,RB,CHI,Car,9.6
Cameron Brate,TE,TB,Buf,9.6
Roger Lewis,WR,NYG,Sea,9.5
Jared Cook,TE,OAK,KC,9.5
Jamison Crowder,WR,WSH,Phi,9.5
Ricardo Louis,WR,CLE,Ten,9.5
Robert Woods,WR,LAR,Ari,9.5
Ryan Succop,K,TEN,Cle,9.4
Bennie Fowler III,WR,DEN,LAC,9.4
Eric Decker,WR,TEN,Cle,9.4
James White,RB,NE,Atl,9.3
Sammy Watkins,WR,LAR,Ari,9.3
Robby Anderson,WR,NYJ,Mia,9.3
Greg Zuerlein,K,LAR,Ari,9.2
Jason Witten,TE,DAL,SF,9.2
Zach Miller,TE,CHI,Car,9.2
Austin Hooper,TE,ATL,NE,9.1
Tyrell Williams,WR,LAC,Den,9.1
Orleans Darkwa,RB,NYG,Sea,9.1
DeMarco Murray,RB,TEN,Cle,9.1
Cowboys,DST,COWBOYS,SF,9
Hunter Henry,TE,LAC,Den,9
Aaron Jones,RB,GB,NO,9
Jaron Brown,WR,ARI,LAR,8.9
Mike Wallace,WR,BAL,Min,8.9
Nelson Agholor,WR,PHI,Wsh,8.9
Kenny Stills,WR,MIA,NYJ,8.9
Rob Kelley,RB,WSH,Phi,8.8
Marquise Goodwin,WR,SF,Dal,8.8
Cole Beasley,WR,DAL,SF,8.8
Dolphins,DST,DOLPHINS,NYJ,8.7
Robbie Gould,K,SF,Dal,8.7
LeGarrette Blount,RB,PHI,Wsh,8.7
Saints,DST,SAINTS,GB,8.7
Matt Bryant,K,ATL,NE,8.7
Josh Lambo,K,JAX,Ind,8.7
Harrison Butker,K,KC,Oak,8.6
Mike Gillislee,RB,NE,Atl,8.6
Tyler Lockett,WR,SEA,NYG,8.6
Chris Ivory,RB,JAX,Ind,8.6
Jaguars,DST,JAGUARS,Ind,8.5
Dan Bailey,K,DAL,SF,8.5
Paul Richardson,WR,SEA,NYG,8.4
Alex Collins,RB,BAL,Min,8.4
Kendall Wright,WR,CHI,Car,8.3
Marlon Mack,RB,IND,Jax,8.3
Donte Moncrief,WR,IND,Jax,8.3
Wil Lutz,K,NO,GB,8.2
Titans,DST,TITANS,Cle,8.2
Chris Boswell,K,PIT,Cin,8.2
Graham Gano,K,CAR,Chi,8.2
Julius Thomas,TE,MIA,NYJ,8.2
Vikings,DST,VIKINGS,Bal,8.1
Bills,DST,BILLS,TB,8.1
George Kittle,TE,SF,Dal,8
Stephen Hauschka,K,BUF,TB,8
Torrey Smith,WR,PHI,Wsh,8
Brandon LaFell,WR,CIN,Pit,8
Panthers,DST,PANTHERS,Chi,8
JuJu Smith-Schuster,WR,PIT,Cin,8
Terrance Williams,WR,DAL,SF,8
Brandon McManus,K,DEN,LAC,7.9
Ted Ginn Jr.,WR,NO,GB,7.9
Adam Vinatieri,K,IND,Jax,7.9
Giovani Bernard,RB,CIN,Pit,7.9
Albert Wilson,WR,KC,Oak,7.8
Mason Crosby,K,GB,NO,7.8
Justin Tucker,K,BAL,Min,7.8
Tyler Kroft,TE,CIN,Pit,7.7
Jermaine Gresham,TE,ARI,LAR,7.7
Blair Walsh,K,SEA,NYG,7.7
Martellus Bennett,TE,GB,NO,7.6
Matt Breida,RB,SF,Dal,7.6
Kai Forbath,K,MIN,Bal,7.6
Phil Dawson,K,ARI,LAR,7.6
Giorgio Tavecchio,K,OAK,KC,7.6
Adam Humphries,WR,TB,Buf,7.6
Jack Doyle,TE,IND,Jax,7.5
Tyler Higbee,TE,LAR,Ari,7.5
Steelers,DST,STEELERS,Cin,7.5
Chandler Catanzaro,K,NYJ,Mia,7.5
Ed Dickson,TE,CAR,Chi,7.5
Jordan Taylor,WR,DEN,LAC,7.3
Cody Parkey,K,MIA,NYJ,7.3
Rams,DST,RAMS,Ari,7.3
Patrick Murray,K,TB,Buf,7.2
Nick O'Leary,TE,BUF,TB,7.2
Nick Novak,K,LAC,Den,7.1
DeAndre Washington,RB,OAK,KC,7
Ryan Grant,WR,WSH,Phi,7
Broncos,DST,BRONCOS,LAC,7
Shane Vereen,RB,NYG,Sea,6.9
Benjamin Watson,TE,BAL,Min,6.8
Matt Forte,RB,NYJ,Mia,6.8
Wayne Gallman,RB,NYG,Sea,6.7
Antonio Gates,TE,LAC,Den,6.7
Tavarres King,WR,NYG,Sea,6.7
Jesse James,TE,PIT,Cin,6.6
Zane Gonzalez,K,CLE,Ten,6.6
Coby Fleener,TE,NO,GB,6.6
Randy Bullock,K,CIN,Pit,6.6
Seahawks,DST,SEAHAWKS,NYG,6.6
Kenny Britt,WR,CLE,Ten,6.6
A.J. Derby,TE,DEN,LAC,6.6
Jeremy Kerley,WR,NYJ,Mia,6.6
J.J. Nelson,WR,ARI,LAR,6.5
Zay Jones,WR,BUF,TB,6.5
Laquon Treadwell,WR,MIN,Bal,6.5
Thomas Rawls,RB,SEA,NYG,6.5
Bears,DST,BEARS,Car,6.5
Travis Benjamin,WR,LAC,Den,6.4
Mike Tolbert,RB,BUF,TB,6.4
Taywan Taylor,WR,TEN,Cle,6.3
C.J. Prosise,RB,SEA,NYG,6.3
Redskins,DST,REDSKINS,Phi,6.2
Keelan Cole,WR,JAX,Ind,6.2
Trent Taylor,WR,SF,Dal,6.2
Marcedes Lewis,TE,JAX,Ind,6.1
Ravens,DST,RAVENS,Min,6.1
Seth Roberts,WR,OAK,KC,6.1
Tre McBride,WR,CHI,Car,6.1
Aldrick Rosas,K,NYG,Sea,6.1
Jamaal Charles,RB,DEN,LAC,6
Connor Barth,K,CHI,Car,5.9
Michael Floyd,WR,MIN,Bal,5.9
Chargers,DST,CHARGERS,Den,5.8
Eddie Lacy,RB,SEA,NYG,5.8
Eagles,DST,EAGLES,Wsh,5.8
Chris Moore,WR,BAL,Min,5.7
David Njoku,TE,CLE,Ten,5.7
Tanner Gentry,WR,CHI,Car,5.6
Seth DeValve,TE,CLE,Ten,5.6
Charles Sims,RB,TB,Buf,5.6
Rashard Higgins,WR,CLE,Ten,5.5
Vernon Davis,TE,WSH,Phi,5.4
Dion Lewis,RB,NE,Atl,5.4
Buccaneers,DST,BUCCANEERS,Buf,5.4
Cardinals,DST,CARDINALS,LAR,5.4
Chiefs,DST,CHIEFS,Oak,5.4
Leonte Carroo,WR,MIA,NYJ,5.3
Giants,DST,GIANTS,Sea,5.3
Bengals,DST,BENGALS,Pit,5.2
Elijah McGuire,RB,NYJ,Mia,5.2
Packers,DST,PACKERS,NO,5.2
Jets,DST,JETS,Mia,5
Tavon Austin,WR,LAR,Ari,5
Patriots,DST,PATRIOTS,Atl,4.8
Mike Williams,WR,LAC,Den,4.8
Demarcus Robinson,WR,KC,Oak,4.8
Jalen Richard,RB,OAK,KC,4.8
Kasen Williams,WR,CLE,Ten,4.8
Colts,DST,COLTS,Jax,4.7
Dion Sims,TE,CHI,Car,4.5
Kyle Juszczyk,RB,SF,Dal,4.5
Andre Holmes,WR,BUF,TB,4.4
Michael Campanaro,WR,BAL,Min,4.4
Josh Doctson,WR,WSH,Phi,4.3
Browns,DST,BROWNS,Ten,4.3
John Ross,WR,CIN,Pit,4.2
Rex Burkhead,RB,NE,Atl,4.2
Brandon Coleman,WR,NO,GB,4.2
Devontae Booker,RB,DEN,LAC,4.1
Cordarrelle Patterson,WR,OAK,KC,4
Virgil Green,TE,DEN,LAC,3.9
Kamar Aiken,WR,IND,Jax,3.9
Branden Oliver,RB,LAC,Den,3.9
Aldrick Robinson,WR,SF,Dal,3.9
Jeremy Hill,RB,CIN,Pit,3.9
Travis Rudolph,WR,NYG,Sea,3.8
Nick Boyle,TE,BAL,Min,3.8
Russell Shepard,WR,CAR,Chi,3.8
49ers,DST,49ERS,Dal,3.7
O.J. Howard,TE,TB,Buf,3.7
Alex Erickson,WR,CIN,Pit,3.7
Damien Williams,RB,MIA,NYJ,3.7
Jonnu Smith,TE,TEN,Cle,3.5
Logan Thomas,TE,BUF,TB,3.5
Falcons,DST,FALCONS,NE,3.4
Raiders,DST,RAIDERS,KC,3.4
Brice Butler,WR,DAL,SF,3.4
Gerald Everett,TE,LAR,Ari,3.3
Chester Rogers,WR,IND,Jax,3.1
Rhett Ellison,TE,NYG,Sea,3.1
Jakeem Grant,WR,MIA,NYJ,3.1
Luke Willson,TE,SEA,NYG,3
Akeem Hunt,RB,KC,Oak,2.9
Corey Clement,RB,PHI,Wsh,2.9
Bryce Treggs,WR,CLE,Ten,2.9
Malcolm Brown,RB,LAR,Ari,2.8
Michael Hoomanawanui,TE,NO,GB,2.8
Alfred Morris,RB,DAL,SF,2.7
Josh Bellamy,WR,CHI,Car,2.7
Justin Hunter,WR,PIT,Cin,2.7
Demetrius Harris,TE,KC,Oak,2.6
Troy Niklas,TE,ARI,LAR,2.6
Curtis Samuel,WR,CAR,Chi,2.5
Justin Hardy,WR,ATL,NE,2.5
Jarius Wright,WR,MIN,Bal,2.5
Trey Burton,TE,PHI,Wsh,2.4
Kerwynn Williams,RB,ARI,LAR,2.4
Kenyan Drake,RB,MIA,NYJ,2.3
Jeff Heuerman,TE,DEN,LAC,2.2
Jacquizz Rodgers,RB,TB,Buf,2.2
James Conner,RB,PIT,Cin,2.2
Vance McDonald,TE,PIT,Cin,2.2
ArDarius Stewart,WR,NYJ,Mia,2.1
Lance Kendricks,TE,GB,NO,2.1
J.D. McKissic,RB,SEA,NYG,2.1
Eric Weems,WR,TEN,Cle,2
De'Anthony Thomas,WR,KC,Oak,1.8
Mack Hollins,WR,PHI,Wsh,1.8
Chris Godwin,WR,TB,Buf,1.7
Arrelious Benn,WR,JAX,Ind,1.6
Tommy Bohanon,RB,JAX,Ind,1.6
Patrick DiMarco,RB,BUF,TB,1.6
Chris Matthews,WR,BAL,Min,1.6
James Hanna,TE,DAL,SF,1.6
Vince Mayle,WR,BAL,Min,1.6
James O'Shaughnessy,TE,JAX,Ind,1.6
Anthony Fasano,TE,MIA,NYJ,1.6
Tanner McEvoy,WR,SEA,NYG,1.6
Kaelin Clay,WR,BUF,TB,1.5
Stacy Coley,WR,MIN,Bal,1.5
Samaje Perine,RB,WSH,Phi,1.5
Corey Grant,RB,JAX,Ind,1.5
Matt Jones,RB,IND,Jax,1.4
Josh Hill,TE,NO,GB,1.3
Benny Cunningham,RB,CHI,Car,1.3
Brent Celek,TE,PHI,Wsh,1.3
Levine Toilolo,TE,ATL,NE,1.3
C.J. Uzomah,TE,CIN,Pit,1.3
Phillip Dorsett,WR,NE,Atl,1.3
Austin Ekeler,RB,LAC,Den,1.3
Lee Smith,TE,OAK,KC,1.2
C.J. Spiller,RB,KC,Oak,1.2
Cameron Artis-Payne,RB,CAR,Chi,1.2
Marcus Johnson,WR,PHI,Wsh,1.2
Ross Travis,TE,KC,Oak,1.1
Derek Carrier,TE,LAR,Ari,1.1
Geronimo Allison,WR,GB,NO,1.1
Amara Darboh,WR,SEA,NYG,1
Eric Tomlinson,TE,NYJ,Mia,1
MarQueis Gray,TE,MIA,NYJ,1
Dwayne Allen,TE,NE,Atl,1
Bobby Rainey,RB,BAL,Min,1
Brandon Williams,TE,IND,Jax,0.9
Darrell Daniels,TE,IND,Jax,0.9
Garrett Celek,TE,SF,Dal,0.8
Pharoh Cooper,WR,LAR,Ari,0.8
Rod Smith,RB,DAL,SF,0.8
Jamize Olawale,RB,OAK,KC,0.7
Matthew Dayes,RB,CLE,Ten,0.7
C.J. Ham,RB,MIN,Bal,0.7
Aaron Ripkowski,RB,GB,NO,0.7
Ifeanyi Momah,TE,ARI,LAR,0.7
Jacob Hollister,TE,NE,Atl,0.7
Nick Williams,WR,ATL,NE,0.6
James Develin,RB,NE,Atl,0.6
David Fluellen,RB,TEN,Cle,0.6
Matt LaCosse,TE,NYG,Sea,0.6
Jerell Adams,TE,NYG,Sea,0.6
Niles Paul,TE,WSH,Phi,0.6
Brian Quick,WR,WSH,Phi,0.6
Clive Walford,TE,OAK,KC,0.6
Brandon Tate,WR,BUF,TB,0.6
Quan Bray,WR,IND,Jax,0.6
Geoff Swaim,TE,DAL,SF,0.5
Bernard Reedy,WR,TB,Buf,0.5
Jehu Chesson,WR,KC,Oak,0.5
Anthony Sherman,RB,KC,Oak,0.5
Ben Koyack,TE,JAX,Ind,0.5
Cethan Carter,TE,CIN,Pit,0.5
Chad Hansen,WR,NYJ,Mia,0.5
David Morgan II,TE,MIN,Bal,0.5
Blake Bell,TE,MIN,Bal,0.5
Chris Manhertz,TE,CAR,Chi,0.5
Khari Lee,TE,BUF,TB,0.5
Ryan Switzer,WR,DAL,SF,0.5
Andy Janovich,RB,DEN,LAC,0.4
Raheem Mostert,RB,SF,Dal,0.4
Terrell Watson,RB,PIT,Cin,0.4
Michael Burton,RB,CHI,Car,0.4
Trevor Davis,WR,GB,NO,0.4
Andre Roberts,WR,ATL,NE,0.3
Sean McGrath,TE,LAC,Den,0.3
Jamaal Williams,RB,GB,NO,0.3
Luke Stocker,TE,TB,Buf,0.3
Dontrelle Inman,WR,LAC,Den,0.3
Cole Hikutini,TE,SF,Dal,0.3
Richard Rodgers,TE,GB,NO,0.3
Randall Telfer,TE,CLE,Ten,0.3
Nick Vannett,TE,SEA,NYG,0.3
Noah Brown,WR,DAL,SF,0.3
Phillip Supernaw,TE,TEN,Cle,0.2
Adam Shaheen,TE,CHI,Car,0.2
Derek Watt,RB,LAC,Den,0.2
Trey Edmunds,RB,NO,GB,0.2
Chris Thompson,WR,HOU,** BYE **,--
Kenjon Barner,RB,PHI,Wsh,0.1
Will Fuller V,WR,HOU,** BYE **,--
Jalston Fowler,RB,TEN,Cle,0.1
Jimmy Garoppolo,QB,NE,Atl,0.1
Victor Bolden Jr.,WR,SF,Dal,0.1
Matt Schaub,QB,ATL,NE,0.1
Joe Callahan,QB,GB,NO,0.1
Patrick Mahomes II,QB,KC,Oak,0.1
Cody Kessler,QB,CLE,Ten,0.1
Nick Foles,QB,PHI,Wsh,0.1
Drew Stanton,QB,ARI,LAR,0.1
Chase Daniel,QB,NO,GB,0.1
EJ Manuel,QB,OAK,KC,0.1
Kellen Moore,QB,DAL,SF,0.1
Brian Hoyer,QB,SF,Dal,0.1
Ryan Fitzpatrick,QB,TB,Buf,0.1
Nathan Peterman,QB,BUF,TB,0.1
Kellen Clemens,QB,LAC,Den,0.1
Austin Davis,QB,SEA,NYG,0.1
Geno Smith,QB,NYG,Sea,0.1
Chad Henne,QB,JAX,Ind,0.1
Paxton Lynch,QB,DEN,LAC,0.1
Matt Cassel,QB,TEN,Cle,0.1
Sean Mannion,QB,LAR,Ari,0.1
Colt McCoy,QB,WSH,Phi,0.1
Landry Jones,QB,PIT,Cin,0.1
Derek Anderson,QB,CAR,Chi,0.1
Bryce Petty,QB,NYJ,Mia,0.1
Matt Moore,QB,MIA,NYJ,0.1
Mike Glennon,QB,CHI,Car,0.1
AJ McCarron,QB,CIN,Pit,0.1
Ryan Mallett,QB,BAL,Min,0.1
Scott Tolzien,QB,IND,Jax,0.1
Jeff Janis,WR,GB,NO,0
Eli Rogers,WR,PIT,Cin,0
Stefon Diggs,WR,MIN,Bal,0
Taiwan Jones,RB,BUF,TB,0
Sebastian Janikowski,K,OAK,KC,0
Mike Vick,QB,PIT,Cin,0
Steve Smith Sr.,WR,BAL,Min,0
Shayne Graham,K,ATL,NE,0
Billy Cundiff,K,CLE,Ten,0
Shaun Hill,QB,MIN,Bal,0
Andre Johnson,WR,TEN,Cle,0
Anquan Boldin,WR,BUF,TB,0
Josh Brown,K,NYG,Sea,0
Tony Romo,QB,DAL,SF,0
Kellen Winslow,TE,NYJ,Mia,0
Steven Jackson,RB,NE,Atl,0
Luke McCown,QB,DAL,SF,0
Jerricho Cotchery,WR,CAR,Chi,0
Josh Scobee,K,NO,GB,0
Wes Welker,WR,LAR,Ari,0
Aaron Rodgers,QB,GB,NO,0
Roddy White,WR,ATL,NE,0
Mike Nugent,K,NYG,Sea,0
Vincent Jackson,WR,TB,Buf,0
Alex Smith,TE,WSH,Phi,0
Darren Sproles,RB,PHI,Wsh,0
Dan Orlovsky,QB,LAR,Ari,0
Joshua Cribbs,WR,IND,Jax,0
Nate Washington,WR,NE,Atl,0
Shaun Suisham,K,PIT,Cin,0
Lance Moore,WR,ATL,NE,0
John Kuhn,RB,NO,GB,0
Reggie Bush,RB,BUF,TB,0
DeAngelo Williams,RB,PIT,Cin,0
Greg Jennings,WR,MIA,NYJ,0
Devin Hester,WR,SEA,NYG,0
Tarvaris Jackson,QB,SEA,NYG,0
Charlie Whitehurst,QB,CLE,Ten,0
Derek Hagan,WR,TEN,Cle,0
Owen Daniels,TE,DEN,LAC,0
Jason Avant,WR,KC,Oak,0
Brandon Marshall,WR,NYG,Sea,0
Bruce Gradkowski,QB,PIT,Cin,0
Marques Colston,WR,NO,GB,0
Miles Austin,WR,PHI,Wsh,0
Fred Jackson,RB,SEA,NYG,0
Daniel Fells,TE,NYG,Sea,0
Calvin Johnson,WR,DET,** BYE **,--
Dwayne Bowe,WR,CLE,Ten,0
Greg Olsen,TE,CAR,Chi,0
Jacoby Jones,WR,PIT,Cin,0
Matt Spaeth,TE,PIT,Cin,0
James Jones,WR,LAC,Den,0
Scott Chandler,TE,NE,Atl,0
Nick Folk,K,TB,Buf,0
Clark Harris,TE,CIN,Pit,0
Ahmad Bradshaw,RB,IND,Jax,0
Pierre Thomas,RB,WSH,Phi,0
Matt Prater,K,DET,** BYE **,--
Darren McFadden,RB,DAL,SF,0
Chris Johnson,RB,ARI,LAR,0
Eddie Royal,WR,CHI,Car,0
Jerome Simpson,WR,SF,Dal,0
Fred Davis,TE,WSH,Phi,0
Harry Douglas,WR,TEN,Cle,0
Craig Stevens,TE,TEN,Cle,0
Andre Jerome Caldwell,WR,DET,** BYE **,--
Gary Barnidge,TE,CLE,Ten,0
Jerome Felton,RB,BUF,TB,0
Jacob Tamme,TE,ATL,NE,0
Tim Hightower,RB,SF,Dal,0
Matthew Slater,WR,NE,Atl,0
Kellen Davis,TE,NYJ,Mia,0
Josh Johnson,QB,NYG,Sea,0
Matt Flynn,QB,NO,GB,0
Stevie Johnson,WR,LAC,Den,0
Justin Forsett,RB,DEN,LAC,0
Garrett Hartley,K,PIT,Cin,0
Dan Carpenter,K,BUF,TB,0
Matthew Mulligan,TE,DET,** BYE **,--
Marcel Reece,RB,SEA,NYG,0
Danny Woodhead,RB,BAL,Min,0
Josh Freeman,QB,IND,Jax,0
Mark Sanchez,QB,CHI,Car,0
Matthew Stafford,QB,DET,** BYE **,--
Donald Brown,RB,NE,Atl,0
Arian Foster,RB,MIA,NYJ,0
Rashad Jennings,RB,NYG,Sea,0
David Johnson,TE,PIT,Cin,0
Jorvorskie Lane,RB,TB,Buf,0
Cedric Peerman,RB,CIN,Pit,0
Marcus Thigpen,RB,BUF,TB,0
James Casey,TE,DEN,LAC,0
Chase Coffman,TE,IND,Jax,0
Bear Pascoe,TE,NE,Atl,0
Brandon Pettigrew,TE,DET,** BYE **,--
John Phillips,TE,NO,GB,0
Brandon Gibson,WR,NE,Atl,0
Brian Hartline,WR,CLE,Ten,0
Percy Harvin,WR,BUF,TB,0
Darrius Heyward-Bey,WR,PIT,Cin,0
Louis Murphy,WR,SF,Dal,0
Hakeem Nicks,WR,NO,GB,0
Jordan Norwood,WR,DEN,LAC,0
Kevin Ogletree,WR,NYG,Sea,0
Julian Edelman,WR,NE,Atl,0
Brandon Myers,TE,TB,Buf,0
Darrel Young,RB,CAR,Chi,0
Antone Smith,RB,TB,Buf,0
Sam Bradford,QB,MIN,Bal,0
Jimmy Clausen,QB,BAL,Min,0
Dan LeFevour,QB,TB,Buf,0
Ryan Mathews,RB,PHI,Wsh,0
Dexter McCluster,RB,LAC,Den,0
Ben Tate,RB,PIT,Cin,0
Toby Gerhart,RB,JAX,Ind,0
Boobie Dixon,RB,BUF,TB,0
James Starks,RB,GB,NO,0
Golden Tate,WR,DET,** BYE **,--
Marcus Easley,WR,BUF,TB,0
Riley Cooper,WR,PHI,Wsh,0
Dennis Pitta,TE,BAL,Min,0
Tony Moeaki,TE,CHI,Car,0
Emmanuel Sanders,WR,DEN,LAC,0
Jim Dray,TE,ARI,LAR,0
Garrett Graham,TE,DEN,LAC,0
Clay Harbor,TE,NO,GB,0
Marc Mariani,WR,TEN,Cle,0
Anthony McCoy,TE,SEA,NYG,0
Andrew Quarless,TE,DET,** BYE **,--
Joe Webb,QB,BUF,TB,0
Kyle Williams,WR,NYJ,Mia,0
Mike Williams,WR,KC,Oak,0
Seyi Ajirotutu,WR,PHI,Wsh,0
Joique Bell,RB,DET,** BYE **,--
Richie Brockel,TE,CAR,Chi,0
Victor Cruz,WR,CHI,Car,0
Jeff Cumberland,TE,LAC,Den,0
Thaddeus Lewis,QB,BAL,Min,0
Marlon Moore,WR,CLE,Ten,0
Bryan Walters,WR,JAX,Ind,0
Preston Parker,WR,FA,** BYE **,--
Logan Paulsen,TE,SF,Dal,0
Danario Alexander,WR,LAC,Den,0
Tyler Clutts,RB,DAL,SF,0
Andrew Hawkins,WR,CLE,Ten,0
Christian Ponder,QB,SF,Dal,0
Blaine Gabbert,QB,ARI,LAR,0
Colin Kaepernick,QB,SF,Dal,0
Rob Housler,TE,NE,Atl,0
Leonard Hankerson,WR,BUF,TB,0
Greg Little,WR,BUF,TB,0
Vincent Brown,WR,NO,GB,0
Stevan Ridley,RB,MIN,Bal,0
Ryan Williams,RB,DAL,SF,0
Daniel Thomas,RB,MIA,NYJ,0
Bruce Miller,TE,SF,Dal,0
Dwayne Harris,WR,NYG,Sea,0
David Ausberry,TE,DET,** BYE **,--
Greg Salas,WR,BUF,TB,0
T.J. Yates,QB,BUF,TB,0
Charles Clay,TE,BUF,TB,0
Denarius Moore,WR,BUF,TB,0
D.J. Williams,TE,WSH,Phi,0
Kendall Hunter,RB,NO,GB,0
Cecil Shorts III,WR,TB,Buf,0
Jordan Todman,RB,HOU,** BYE **,--
Jordan Cameron,TE,MIA,NYJ,0
Roy Helu Jr.,RB,OAK,KC,0
DuJuan Harris,RB,JAX,Ind,0
Jerrod Johnson,QB,DAL,SF,0
Ricardo Lockette,WR,SEA,NYG,0
Matt Asiata,RB,DET,** BYE **,--
Joe Morgan,WR,BAL,Min,0
Jeremy Ross,WR,ARI,LAR,0
Shaun Draughn,RB,NYG,Sea,0
Chase Reynolds,RB,LAR,Ari,0
Will Johnson,RB,NYG,Sea,0
Andrew Luck,QB,IND,Jax,0
Robert Griffin III,QB,CLE,Ten,0
