,Player,Position,Team,Opponent,FantasyFootball_FantasyPoints,PlayerID
65,Eric Decker,WR,TEN,@CLE,5.0,00-0027690
66,Chris Hogan,WR,NE,ATL,5.0,00-0028237
67,DeSean Jackson,WR,TB,@BUF,5.0,00-0026189
68,Tyler Lockett,WR,SEA,@NYG,5.0,00-0032211
69,Jeremy Maclin,WR,BAL,@MIN,5.0,00-0026995
70,Terrelle Pryor,WR,WAS,@PHI,5.0,00-0028825
71,Ted Ginn Jr.,WR,NO,@GB,4.5,00-0025396
72,Allen Hurns,WR,JAX,@IND,4.5,00-0030821
73,Donte Moncrief,WR,IND,JAC,4.5,00-0031339
74,Mohamed Sanu,WR,ATL,@NE,4.5,00-0029632
75,Sterling Shepard,WR,NYG,SEA,4.5,00-0032385
76,Davante Adams,WR,GB,NO,4.0,00-0031381
77,Cole Beasley,WR,DAL,@SF,4.0,00-0029000
78,Jaron Brown,WR,ARI,@LAR,4.0,00-0030300
79,Josh Doctson,WR,WAS,@PHI,4.0,00-0032760
80,Travis Kelce,TE,KC,@OAK,13.5,00-0030506
81,Zach Ertz,TE,PHI,WAS,13.0,00-0030061
82,Rob Gronkowski,TE,NE,ATL,13.0,00-0027656
83,Evan Engram,TE,NYG,SEA,12.5,00-0033881
84,Hunter Henry,TE,LAC,DEN,12.5,00-0033090
85,Jason Witten,TE,DAL,@SF,11.5,00-0022127
86,Cameron Brate,TE,TB,@BUF,11.0,00-0031273
87,Kyle Rudolph,TE,MIN,BAL,11.0,00-0027981
88,Austin Seferian-Jenkins,TE,NYJ,@MIA,11.0,00-0031418
89,Jack Doyle,TE,IND,JAC,10.5,00-0030181
90,Jimmy Graham,TE,SEA,@NYG,10.0,00-0027696
91,George Kittle,TE,SF,DAL,5.0,00-0033288
92,Tyler Kroft,TE,CIN,@PIT,4.5,00-0032214
93,Zach Miller,TE,CHI,CAR,4.5,00-0027125
94,Nick O'Leary,TE,BUF,TB,4.5,00-0032117
95,Ben Watson,TE,BAL,@MIN,4.5,00-0022943
96,Vernon Davis,TE,WAS,@PHI,4.0,00-0024221
97,Ed Dickson,TE,CAR,@CHI,4.0,00-0027675
98,Jordan Reed,TE,WAS,@PHI,4.0,00-0030472
99,Delanie Walker,TE,TEN,@CLE,4.0,00-0024389
100,Martellus Bennett,TE,GB,NO,3.5,00-0026201
101,Austin Hooper,TE,ATL,@NE,3.5,00-0032392
102,Jesse James,TE,PIT,CIN,3.5,00-0032135
103,Jared Cook,TE,OAK,KC,3.0,00-0027061
104,A.J. Derby,TE,DEN,@LAC,3.0,00-0031609
105,Coby Fleener,TE,NO,@GB,3.0,00-0029697
106,David Njoku,TE,CLE,TEN,3.0,00-0033885
107,Seth Devalve,TE,CLE,TEN,2.5,00-0033080
108,Julius Thomas,TE,MIA,NYJ,2.5,00-0028067
109,Gerald Everett,TE,LA,ARI,2.0,00-0033895
110,Antonio Gates,TE,LAC,DEN,2.0,00-0021547
111,Jermaine Gresham,TE,ARI,@LAR,2.0,00-0027873
112,Marcedes Lewis,TE,JAX,@IND,2.0,00-0024243
113,Nick Boyle,TE,BAL,@MIN,1.5,00-0031598
114,Tyler Higbee,TE,LA,ARI,1.5,00-0033110
115,Trey Burton,TE,PHI,WAS,1.0,00-0030710
116,Brent Celek,TE,PHI,WAS,1.0,00-0025549
117,Rhett Ellison,TE,NYG,SEA,1.0,00-0029587
118,Virgil Green,TE,DEN,@LAC,1.0,00-0028142
119,O.J. Howard,TE,TB,@BUF,1.0,00-0033879
120,LeSean McCoy,RB,BUF,TB,19.5,00-0027029
121,Ezekiel Elliott,RB,DAL,@SF,18.5,00-0033045
122,Melvin Gordon,RB,LAC,DEN,18.5,00-0032144
123,Kareem Hunt,RB,KC,@OAK,18.5,00-0033923
124,Le'Veon Bell,RB,PIT,CIN,18.0,00-0030496
125,Todd Gurley,RB,LA,ARI,18.0,00-0032241
126,Jordan Howard,RB,CHI,CAR,16.5,00-0032780
127,Chris Ivory,RB,JAX,@IND,16.5,00-0027531
128,Mark Ingram,RB,NO,@GB,16.0,00-0027966
129,Jay Ajayi,RB,MIA,NYJ,15.5,00-0031590
130,Devonta Freeman,RB,ATL,@NE,15.5,00-0031285
131,Jerick McKinnon,RB,MIN,BAL,15.5,00-0031376
132,C.J. Anderson,RB,DEN,@LAC,15.0,00-0029854
133,Derrick Henry,RB,TEN,@CLE,14.5,00-0032764
134,Carlos Hyde,RB,SF,DAL,14.5,00-0031045
135,Javorius Allen,RB,BAL,@MIN,14.0,00-0031577
136,Frank Gore,RB,IND,JAC,14.0,00-0023500
137,Alvin Kamara,RB,NO,@GB,14.0,00-0033906
138,LeGarrette Blount,RB,PHI,WAS,13.0,00-0027325
139,Marshawn Lynch,RB,OAK,KC,13.0,00-0025399
140,Isaiah Crowell,RB,CLE,TEN,12.0,00-0030656
141,Chris Thompson,RB,WAS,@PHI,12.0,00-0030404
142,Aaron Jones,RB,GB,NO,11.5,00-0033293
143,James White,RB,NE,ATL,11.0,00-0031062
144,Joe Mixon,RB,CIN,@PIT,8.0,00-0033897
145,Doug Martin,RB,TB,@BUF,7.0,00-0029613
146,Adrian Peterson,RB,ARI,@LAR,7.0,00-0025394
147,Tarik Cohen,RB,CHI,CAR,6.5,00-0033556
148,Tevin Coleman,RB,ATL,@NE,6.5,00-0032058
149,Orleans Darkwa,RB,NYG,SEA,6.5,00-0030860
150,Matt Forte,RB,NYJ,@MIA,6.5,00-0026184
151,Christian McCaffrey,RB,CAR,@CHI,6.5,00-0033280
152,DeMarco Murray,RB,TEN,@CLE,6.0,00-0028009
153,Duke Johnson,RB,CLE,TEN,5.5,00-0032257
154,Marlon Mack,RB,IND,JAC,5.5,00-0033951
155,Jonathan Stewart,RB,CAR,@CHI,5.5,00-0026153
156,Giovani Bernard,RB,CIN,@PIT,5.0,00-0030456
157,Dion Lewis,RB,NE,ATL,5.0,00-0028087
158,Mike Tolbert,RB,BUF,TB,5.0,00-0026069
159,Matt Breida,RB,SF,DAL,4.5,00-0033308
160,Jamaal Charles,RB,DEN,@LAC,4.5,00-0026213
161,Alex Collins,RB,BAL,@MIN,4.5,00-0032426
162,Wayne Gallman,RB,NYG,SEA,4.5,00-0033950
163,Rob Kelley,RB,WAS,@PHI,4.5,00-0032371
164,Eddie Lacy,RB,SEA,@NYG,4.5,00-0030485
165,Ty Montgomery,RB,GB,NO,4.5,00-0032200
166,Latavius Murray,RB,MIN,BAL,4.5,00-0030513
167,Thomas Rawls,RB,SEA,@NYG,4.5,00-0031897
168,Mike Gillislee,RB,NE,ATL,4.0,00-0030433
169,T.J. Yeldon,RB,JAX,@IND,4.0,00-0032209
170,Graham Gano,K,CAR,@CHI,11.0,00-0026858
171,Wil Lutz,K,NO,@GB,11.0,00-0032569
172,Justin Tucker,K,BAL,@MIN,11.0,00-0029597
173,Harrison Butker,K,KC,@OAK,9.0,00-0033303
174,Jake Elliott,K,PHI,WAS,9.0,00-0033787
175,Stephen Gostkowski,K,NE,ATL,9.0,00-0024333
176,Cody Parkey,K,MIA,NYJ,9.0,00-0030850
177,Ryan Succop,K,TEN,@CLE,9.0,00-0026968
178,Blair Walsh,K,SEA,@NYG,9.0,00-0029576
179,Connor Barth,K,CHI,CAR,8.0,00-0026138
180,Matt Bryant,K,ATL,@NE,8.0,00-0020578
181,Randy Bullock,K,CIN,@PIT,8.0,00-0029421
182,Mason Crosby,K,GB,NO,8.0,00-0025580
183,Phil Dawson,K,ARI,@LAR,8.0,00-0004091
184,Robbie Gould,K,SF,DAL,8.0,00-0023252
185,Brandon McManus,K,DEN,@LAC,8.0,00-0029822
186,Patrick Murray,K,TB,@BUF,8.0,00-0030626
187,Nick Rose,K,WAS,@PHI,8.0,
188,Giorgio Tavecchio,K,OAK,KC,8.0,00-0028907
189,Dan Bailey,K,DAL,@SF,7.0,00-0028660
190,Chris Boswell,K,PIT,CIN,6.0,00-0031136
191,Chandler Catanzaro,K,NYJ,@MIA,6.0,00-0030896
192,Kai Forbath,K,MIN,BAL,6.0,00-0028787
193,Steve Hauschka,K,BUF,TB,6.0,00-0025944
194,Josh Lambo,K,JAX,@IND,6.0,
195,Nick Novak,K,LAC,DEN,6.0,00-0023096
196,Adam Vinatieri,K,IND,JAC,6.0,00-0016919
197,Greg Zuerlein,K,LA,ARI,6.0,00-0029621
198,Aldrick Rosas,K,NYG,SEA,5.0,00-0032870
199,Zane Gonzalez,K,CLE,TEN,3.0,00-0033862
