,Player,Position,Team,Opponent,ESPN_FantasyPoints,PlayerID
91,Danny Amendola,WR,NE,Atl,10.8,00-0026035
92,John Brown,WR,ARI,LAR,10.8,00-0031051
93,Kelvin Benjamin,WR,CAR,Chi,10.8,00-0031359
94,Jimmy Graham,TE,SEA,NYG,10.7,00-0027696
95,Derrick Henry,RB,TEN,Cle,10.7,00-0032764
96,Isaiah Crowell,RB,CLE,Ten,10.6,00-0030656
97,Jeremy Maclin,WR,BAL,Min,10.5,00-0026995
98,Devin Funchess,WR,CAR,Chi,10.5,00-0032055
99,Latavius Murray,RB,MIN,Bal,10.5,00-0030513
100,Randall Cobb,WR,GB,NO,10.4,00-0028002
101,Cooper Kupp,WR,LA,Ari,10.4,00-0033908
102,Wendell Smallwood,RB,PHI,Wsh,10.3,00-0032782
103,Bilal Powell,RB,NYJ,Mia,10.2,00-0028064
104,Allen Hurns,WR,JAX,Ind,10.1,00-0030821
105,Austin Seferian-Jenkins,TE,NYJ,Mia,10,00-0031418
106,Andre Ellington,RB,ARI,LAR,10,00-0030287
107,Martavis Bryant,WR,PIT,Cin,10,00-0031373
108,Stephen Gostkowski,K,NE,Atl,9.9,00-0024333
109,Kyle Rudolph,TE,MIN,Bal,9.8,00-0027981
110,Taylor Gabriel,WR,ATL,NE,9.8,00-0031228
111,Willie Snead,WR,NO,GB,9.7,00-0030663
112,Jake Elliott,K,PHI,Wsh,9.7,00-0033787
113,Jordan Matthews,WR,BUF,TB,9.7,00-0031299
114,Jermaine Kearse,WR,NYJ,Mia,9.7,00-0029159
115,Tarik Cohen,RB,CHI,Car,9.6,00-0033556
116,Cameron Brate,TE,TB,Buf,9.6,00-0031273
117,Roger Lewis,WR,NYG,Sea,9.5,00-0032659
118,Jared Cook,TE,OAK,KC,9.5,00-0027061
119,Jamison Crowder,WR,WSH,Phi,9.5,00-0031941
120,Ricardo Louis,WR,CLE,Ten,9.5,00-0033079
121,Robert Woods,WR,LA,Ari,9.5,00-0030431
122,Ryan Succop,K,TEN,Cle,9.4,00-0026968
123,Bennie Fowler III,WR,DEN,LAC,9.4,00-0030670
124,Eric Decker,WR,TEN,Cle,9.4,00-0027690
125,James White,RB,NE,Atl,9.3,00-0031062
126,Sammy Watkins,WR,LA,Ari,9.3,00-0031325
127,Robby Anderson,WR,NYJ,Mia,9.3,00-0032688
128,Greg Zuerlein,K,LA,Ari,9.2,00-0029621
129,Jason Witten,TE,DAL,SF,9.2,00-0022127
130,Zach Miller,TE,CHI,Car,9.2,00-0027125
131,Austin Hooper,TE,ATL,NE,9.1,00-0032392
132,Tyrell Williams,WR,LAC,Den,9.1,00-0032160
133,Orleans Darkwa,RB,NYG,Sea,9.1,00-0030860
134,DeMarco Murray,RB,TEN,Cle,9.1,00-0028009
135,Cowboys,DST,COWBOYS,SF,9,
136,Hunter Henry,TE,LAC,Den,9,00-0033090
137,Aaron Jones,RB,GB,NO,9,00-0033293
138,Jaron Brown,WR,ARI,LAR,8.9,00-0030300
139,Mike Wallace,WR,BAL,Min,8.9,00-0026901
140,Nelson Agholor,WR,PHI,Wsh,8.9,00-0031549
141,Kenny Stills,WR,MIA,NYJ,8.9,00-0030085
142,Rob Kelley,RB,WSH,Phi,8.8,00-0032371
143,Marquise Goodwin,WR,SF,Dal,8.8,00-0030068
144,Cole Beasley,WR,DAL,SF,8.8,00-0029000
145,Dolphins,DST,DOLPHINS,NYJ,8.7,
146,Robbie Gould,K,SF,Dal,8.7,00-0023252
147,LeGarrette Blount,RB,PHI,Wsh,8.7,00-0027325
148,Saints,DST,SAINTS,GB,8.7,
149,Matt Bryant,K,ATL,NE,8.7,00-0020578
150,Josh Lambo,K,JAX,Ind,8.7,
151,Harrison Butker,K,KC,Oak,8.6,00-0033303
152,Mike Gillislee,RB,NE,Atl,8.6,00-0030433
153,Tyler Lockett,WR,SEA,NYG,8.6,00-0032211
154,Chris Ivory,RB,JAX,Ind,8.6,00-0027531
155,Jaguars,DST,JAGUARS,Ind,8.5,
156,Dan Bailey,K,DAL,SF,8.5,00-0028660
157,Paul Richardson,WR,SEA,NYG,8.4,00-0031257
158,Alex Collins,RB,BAL,Min,8.4,00-0032426
159,Kendall Wright,WR,CHI,Car,8.3,00-0029708
160,Marlon Mack,RB,IND,Jax,8.3,00-0033951
161,Donte Moncrief,WR,IND,Jax,8.3,00-0031339
162,Wil Lutz,K,NO,GB,8.2,00-0032569
163,Titans,DST,TITANS,Cle,8.2,
164,Chris Boswell,K,PIT,Cin,8.2,00-0031136
165,Graham Gano,K,CAR,Chi,8.2,00-0026858
166,Julius Thomas,TE,MIA,NYJ,8.2,00-0028067
167,Vikings,DST,VIKINGS,Bal,8.1,
168,Bills,DST,BILLS,TB,8.1,
169,George Kittle,TE,SF,Dal,8,00-0033288
170,Stephen Hauschka,K,BUF,TB,8,00-0025944
171,Torrey Smith,WR,PHI,Wsh,8,00-0027996
172,Brandon LaFell,WR,CIN,Pit,8,00-0027681
173,Panthers,DST,PANTHERS,Chi,8,
174,JuJu Smith-Schuster,WR,PIT,Cin,8,00-0033857
175,Terrance Williams,WR,DAL,SF,8,00-0030542
176,Brandon McManus,K,DEN,LAC,7.9,00-0029822
177,Ted Ginn Jr.,WR,NO,GB,7.9,00-0025396
178,Adam Vinatieri,K,IND,Jax,7.9,00-0016919
179,Giovani Bernard,RB,CIN,Pit,7.9,00-0030456
180,Albert Wilson,WR,KC,Oak,7.8,00-0030669
181,Mason Crosby,K,GB,NO,7.8,00-0025580
182,Justin Tucker,K,BAL,Min,7.8,00-0029597
183,Tyler Kroft,TE,CIN,Pit,7.7,00-0032214
184,Jermaine Gresham,TE,ARI,LAR,7.7,00-0027873
185,Blair Walsh,K,SEA,NYG,7.7,00-0029576
186,Martellus Bennett,TE,GB,NO,7.6,00-0026201
187,Matt Breida,RB,SF,Dal,7.6,00-0033308
188,Kai Forbath,K,MIN,Bal,7.6,00-0028787
189,Phil Dawson,K,ARI,LAR,7.6,00-0004091
190,Giorgio Tavecchio,K,OAK,KC,7.6,00-0028907
191,Adam Humphries,WR,TB,Buf,7.6,00-0032009
192,Jack Doyle,TE,IND,Jax,7.5,00-0030181
193,Tyler Higbee,TE,LA,Ari,7.5,00-0033110
194,Steelers,DST,STEELERS,Cin,7.5,
195,Chandler Catanzaro,K,NYJ,Mia,7.5,00-0030896
196,Ed Dickson,TE,CAR,Chi,7.5,00-0027675
197,Jordan Taylor,WR,DEN,LAC,7.3,00-0031697
198,Cody Parkey,K,MIA,NYJ,7.3,00-0030850
199,Rams,DST,RAMS,Ari,7.3,
200,Patrick Murray,K,TB,Buf,7.2,00-0030626
201,Nick O'Leary,TE,BUF,TB,7.2,00-0032117
202,Nick Novak,K,LAC,Den,7.1,00-0023096
203,DeAndre Washington,RB,OAK,KC,7,00-0032940
204,Ryan Grant,WR,WSH,Phi,7,00-0031068
205,Broncos,DST,BRONCOS,LAC,7,
206,Shane Vereen,RB,NYG,Sea,6.9,00-0027994
207,Benjamin Watson,TE,BAL,Min,6.8,00-0022943
208,Matt Forte,RB,NYJ,Mia,6.8,00-0026184
209,Wayne Gallman,RB,NYG,Sea,6.7,00-0033950
210,Antonio Gates,TE,LAC,Den,6.7,00-0021547
211,Tavarres King,WR,NYG,Sea,6.7,00-0030091
212,Jesse James,TE,PIT,Cin,6.6,00-0032135
213,Zane Gonzalez,K,CLE,Ten,6.6,00-0033862
214,Coby Fleener,TE,NO,GB,6.6,00-0029697
215,Randy Bullock,K,CIN,Pit,6.6,00-0029421
216,Seahawks,DST,SEAHAWKS,NYG,6.6,
217,Kenny Britt,WR,CLE,Ten,6.6,00-0027006
218,A.J. Derby,TE,DEN,LAC,6.6,00-0031609
219,Jeremy Kerley,WR,NYJ,Mia,6.6,00-0028091
220,J.J. Nelson,WR,ARI,LAR,6.5,00-0032112
221,Zay Jones,WR,BUF,TB,6.5,00-0033891
222,Laquon Treadwell,WR,MIN,Bal,6.5,00-0032951
223,Thomas Rawls,RB,SEA,NYG,6.5,00-0031897
224,Bears,DST,BEARS,Car,6.5,
225,Travis Benjamin,WR,LAC,Den,6.4,00-0029269
226,Mike Tolbert,RB,BUF,TB,6.4,00-0026069
227,Taywan Taylor,WR,TEN,Cle,6.3,00-0033911
228,C.J. Prosise,RB,SEA,NYG,6.3,00-0032393
229,Redskins,DST,REDSKINS,Phi,6.2,
230,Keelan Cole,WR,JAX,Ind,6.2,00-0033681
231,Trent Taylor,WR,SF,Dal,6.2,00-0033292
232,Marcedes Lewis,TE,JAX,Ind,6.1,00-0024243
233,Ravens,DST,RAVENS,Min,6.1,
234,Seth Roberts,WR,OAK,KC,6.1,00-0031166
235,Tre McBride,WR,CHI,Car,6.1,00-0032123
236,Aldrick Rosas,K,NYG,Sea,6.1,00-0032870
237,Jamaal Charles,RB,DEN,LAC,6,00-0026213
238,Connor Barth,K,CHI,Car,5.9,00-0026138
239,Michael Floyd,WR,MIN,Bal,5.9,00-0029638
240,Chargers,DST,CHARGERS,Den,5.8,
241,Eddie Lacy,RB,SEA,NYG,5.8,00-0030485
242,Eagles,DST,EAGLES,Wsh,5.8,
243,Chris Moore,WR,BAL,Min,5.7,00-0032398
244,David Njoku,TE,CLE,Ten,5.7,00-0033885
245,Tanner Gentry,WR,CHI,Car,5.6,00-0033633
246,Seth DeValve,TE,CLE,Ten,5.6,00-0033080
247,Charles Sims,RB,TB,Buf,5.6,00-0031390
248,Rashard Higgins,WR,CLE,Ten,5.5,00-0032977
249,Vernon Davis,TE,WSH,Phi,5.4,00-0024221
250,Dion Lewis,RB,NE,Atl,5.4,00-0028087
251,Buccaneers,DST,BUCCANEERS,Buf,5.4,
252,Cardinals,DST,CARDINALS,LAR,5.4,
253,Chiefs,DST,CHIEFS,Oak,5.4,
254,Leonte Carroo,WR,MIA,NYJ,5.3,00-0033060
255,Giants,DST,GIANTS,Sea,5.3,
256,Bengals,DST,BENGALS,Pit,5.2,
257,Elijah McGuire,RB,NYJ,Mia,5.2,00-0033295
258,Packers,DST,PACKERS,NO,5.2,
259,Jets,DST,JETS,Mia,5,
260,Tavon Austin,WR,LA,Ari,5,00-0030525
261,Patriots,DST,PATRIOTS,Atl,4.8,
262,Mike Williams,WR,LAC,Den,4.8,00-0033536
263,Demarcus Robinson,WR,KC,Oak,4.8,00-0032775
264,Jalen Richard,RB,OAK,KC,4.8,00-0033025
265,Kasen Williams,WR,CLE,Ten,4.8,00-0032250
266,Colts,DST,COLTS,Jax,4.7,
267,Dion Sims,TE,CHI,Car,4.5,00-0030422
268,Kyle Juszczyk,RB,SF,Dal,4.5,00-0029892
269,Andre Holmes,WR,BUF,TB,4.4,00-0028263
270,Michael Campanaro,WR,BAL,Min,4.4,00-0031025
271,Josh Doctson,WR,WSH,Phi,4.3,00-0032760
272,Browns,DST,BROWNS,Ten,4.3,
273,John Ross,WR,CIN,Pit,4.2,00-0033460
274,Rex Burkhead,RB,NE,Atl,4.2,00-0030288
275,Brandon Coleman,WR,NO,GB,4.2,00-0030801
276,Devontae Booker,RB,DEN,LAC,4.1,00-0032972
277,Cordarrelle Patterson,WR,OAK,KC,4,00-0030578
278,Virgil Green,TE,DEN,LAC,3.9,00-0028142
279,Kamar Aiken,WR,IND,Jax,3.9,00-0028497
280,Branden Oliver,RB,LAC,Den,3.9,00-0031277
281,Aldrick Robinson,WR,SF,Dal,3.9,00-0028116
282,Jeremy Hill,RB,CIN,Pit,3.9,00-0031301
283,Travis Rudolph,WR,NYG,Sea,3.8,00-0033717
284,Nick Boyle,TE,BAL,Min,3.8,00-0031598
285,Russell Shepard,WR,CAR,Chi,3.8,00-0030147
286,49ers,DST,49ERS,Dal,3.7,
287,O.J. Howard,TE,TB,Buf,3.7,00-0033879
288,Alex Erickson,WR,CIN,Pit,3.7,00-0032543
289,Damien Williams,RB,MIA,NYJ,3.7,00-0030874
290,Jonnu Smith,TE,TEN,Cle,3.5,00-0033858
291,Logan Thomas,TE,BUF,TB,3.5,00-0031260
292,Falcons,DST,FALCONS,NE,3.4,
293,Raiders,DST,RAIDERS,KC,3.4,
294,Brice Butler,WR,DAL,SF,3.4,00-0030516
295,Gerald Everett,TE,LA,Ari,3.3,00-0033895
296,Chester Rogers,WR,IND,Jax,3.1,00-0032355
297,Rhett Ellison,TE,NYG,Sea,3.1,00-0029587
298,Jakeem Grant,WR,MIA,NYJ,3.1,00-0032791
299,Luke Willson,TE,SEA,NYG,3,00-0030089
300,Akeem Hunt,RB,KC,Oak,2.9,00-0031743
301,Corey Clement,RB,PHI,Wsh,2.9,00-0033725
302,Bryce Treggs,WR,CLE,Ten,2.9,00-0032724
303,Malcolm Brown,RB,LA,Ari,2.8,00-0031806
304,Michael Hoomanawanui,TE,NO,GB,2.8,00-0027732
305,Alfred Morris,RB,DAL,SF,2.7,00-0029141
306,Josh Bellamy,WR,CHI,Car,2.7,00-0029319
307,Justin Hunter,WR,PIT,Cin,2.7,00-0030521
308,Demetrius Harris,TE,KC,Oak,2.6,00-0030155
309,Troy Niklas,TE,ARI,LAR,2.6,00-0031044
310,Curtis Samuel,WR,CAR,Chi,2.5,00-0033282
311,Justin Hardy,WR,ATL,NE,2.5,00-0031570
312,Jarius Wright,WR,MIN,Bal,2.5,00-0029572
313,Trey Burton,TE,PHI,Wsh,2.4,00-0030710
314,Kerwynn Williams,RB,ARI,LAR,2.4,00-0030117
315,Kenyan Drake,RB,MIA,NYJ,2.3,00-0033118
316,Jeff Heuerman,TE,DEN,LAC,2.2,00-0032227
317,Jacquizz Rodgers,RB,TB,Buf,2.2,00-0028083
318,James Conner,RB,PIT,Cin,2.2,00-0033553
319,Vance McDonald,TE,PIT,Cin,2.2,00-0030470
320,ArDarius Stewart,WR,NYJ,Mia,2.1,00-0033916
321,Lance Kendricks,TE,GB,NO,2.1,00-0027985
322,J.D. McKissic,RB,SEA,NYG,2.1,00-0032602
323,Eric Weems,WR,TEN,Cle,2,00-0024535
324,De'Anthony Thomas,WR,KC,Oak,1.8,00-0031060
325,Mack Hollins,WR,PHI,Wsh,1.8,00-0033555
326,Chris Godwin,WR,TB,Buf,1.7,00-0033921
327,Arrelious Benn,WR,JAX,Ind,1.6,00-0027654
328,Tommy Bohanon,RB,JAX,Ind,1.6,
329,Patrick DiMarco,RB,BUF,TB,1.6,00-0028581
330,Chris Matthews,WR,BAL,Min,1.6,00-0028702
331,James Hanna,TE,DAL,SF,1.6,00-0029634
332,Vince Mayle,WR,BAL,Min,1.6,00-0032188
333,James O'Shaughnessy,TE,JAX,Ind,1.6,00-0031951
334,Anthony Fasano,TE,MIA,NYJ,1.6,00-0024268
335,Tanner McEvoy,WR,SEA,NYG,1.6,00-0032475
336,Kaelin Clay,WR,BUF,TB,1.5,00-0032115
337,Stacy Coley,WR,MIN,Bal,1.5,00-0033968
338,Samaje Perine,RB,WSH,Phi,1.5,00-0033526
339,Corey Grant,RB,JAX,Ind,1.5,00-0031731
340,Matt Jones,RB,IND,Jax,1.4,00-0031939
341,Josh Hill,TE,NO,GB,1.3,00-0030216
342,Benny Cunningham,RB,CHI,Car,1.3,00-0029795
343,Brent Celek,TE,PHI,Wsh,1.3,00-0025549
344,Levine Toilolo,TE,ATL,NE,1.3,00-0030443
345,C.J. Uzomah,TE,CIN,Pit,1.3,00-0032134
346,Phillip Dorsett,WR,NE,Atl,1.3,00-0032208
347,Austin Ekeler,RB,LAC,Den,1.3,00-0033699
348,Lee Smith,TE,OAK,KC,1.2,00-0028097
349,C.J. Spiller,RB,KC,Oak,1.2,00-0027861
350,Cameron Artis-Payne,RB,CAR,Chi,1.2,00-0031599
351,Marcus Johnson,WR,PHI,Wsh,1.2,00-0032980
352,Ross Travis,TE,KC,Oak,1.1,00-0032319
353,Derek Carrier,TE,LA,Ari,1.1,00-0029119
354,Geronimo Allison,WR,GB,NO,1.1,00-0032626
355,Amara Darboh,WR,SEA,NYG,1,00-0033937
356,Eric Tomlinson,TE,NYJ,Mia,1,00-0031690
357,MarQueis Gray,TE,MIA,NYJ,1,00-0029878
358,Dwayne Allen,TE,NE,Atl,1,00-0029689
359,Bobby Rainey,RB,BAL,Min,1,00-0029384
360,Brandon Williams,TE,IND,Jax,0.9,00-0029793
361,Darrell Daniels,TE,IND,Jax,0.9,00-0033258
362,Garrett Celek,TE,SF,Dal,0.8,00-0028903
363,Pharoh Cooper,WR,LA,Ari,0.8,00-0033111
364,Rod Smith,RB,DAL,SF,0.8,00-0031900
365,Jamize Olawale,RB,OAK,KC,0.7,00-0029492
366,Matthew Dayes,RB,CLE,Ten,0.7,00-0033596
367,C.J. Ham,RB,MIN,Bal,0.7,00-0032918
368,Aaron Ripkowski,RB,GB,NO,0.7,00-0031612
369,Ifeanyi Momah,TE,ARI,LAR,0.7,00-0029740
370,Jacob Hollister,TE,NE,Atl,0.7,00-0033386
371,Nick Williams,WR,ATL,NE,0.6,00-0029848
372,James Develin,RB,NE,Atl,0.6,00-0027925
373,David Fluellen,RB,TEN,Cle,0.6,00-0030711
374,Matt LaCosse,TE,NYG,Sea,0.6,00-0031744
375,Jerell Adams,TE,NYG,Sea,0.6,00-0032429
376,Niles Paul,TE,WSH,Phi,0.6,00-0028093
377,Brian Quick,WR,WSH,Phi,0.6,00-0029640
378,Clive Walford,TE,OAK,KC,0.6,00-0032256
379,Brandon Tate,WR,BUF,TB,0.6,00-0027057
380,Quan Bray,WR,IND,Jax,0.6,00-0031514
381,Geoff Swaim,TE,DAL,SF,0.5,00-0032141
382,Bernard Reedy,WR,TB,Buf,0.5,00-0030743
383,Jehu Chesson,WR,KC,Oak,0.5,00-0033464
384,Anthony Sherman,RB,KC,Oak,0.5,00-0028074
385,Ben Koyack,TE,JAX,Ind,0.5,00-0032139
386,Cethan Carter,TE,CIN,Pit,0.5,00-0033338
387,Chad Hansen,WR,NYJ,Mia,0.5,00-0033840
388,David Morgan II,TE,MIN,Bal,0.5,00-0032430
389,Blake Bell,TE,MIN,Bal,0.5,00-0032062
390,Chris Manhertz,TE,CAR,Chi,0.5,00-0031484
391,Khari Lee,TE,BUF,TB,0.5,00-0031922
392,Ryan Switzer,WR,DAL,SF,0.5,00-0033562
393,Andy Janovich,RB,DEN,LAC,0.4,00-0032956
394,Raheem Mostert,RB,SF,Dal,0.4,00-0031687
395,Terrell Watson,RB,PIT,Cin,0.4,00-0031793
396,Michael Burton,RB,CHI,Car,0.4,00-0031595
397,Trevor Davis,WR,GB,NO,0.4,00-0032423
398,Andre Roberts,WR,ATL,NE,0.3,00-0027691
399,Sean McGrath,TE,LAC,Den,0.3,00-0029391
400,Jamaal Williams,RB,GB,NO,0.3,00-0033948
401,Luke Stocker,TE,TB,Buf,0.3,00-0028042
402,Dontrelle Inman,WR,LAC,Den,0.3,00-0028411
403,Cole Hikutini,TE,SF,Dal,0.3,00-0033315
404,Richard Rodgers,TE,GB,NO,0.3,00-0031384
405,Randall Telfer,TE,CLE,Ten,0.3,00-0031533
406,Nick Vannett,TE,SEA,NYG,0.3,00-0032394
407,Noah Brown,WR,DAL,SF,0.3,00-0033591
408,Phillip Supernaw,TE,TEN,Cle,0.2,00-0028987
409,Adam Shaheen,TE,CHI,Car,0.2,00-0033896
410,Derek Watt,RB,LAC,Den,0.2,
411,Trey Edmunds,RB,NO,GB,0.2,00-0033838
412,Chris Thompson,WR,HOU,** BYE **,--,00-0033855
413,Kenjon Barner,RB,PHI,Wsh,0.1,00-0030465
414,Will Fuller V,WR,HOU,** BYE **,--,00-0033127
415,Jalston Fowler,RB,TEN,Cle,0.1,00-0032130
416,Jimmy Garoppolo,QB,NE,Atl,0.1,00-0031345
417,Victor Bolden Jr.,WR,SF,Dal,0.1,00-0033306
418,Matt Schaub,QB,ATL,NE,0.1,00-0022787
419,Joe Callahan,QB,GB,NO,0.1,00-0032630
420,Patrick Mahomes II,QB,KC,Oak,0.1,00-0033873
421,Cody Kessler,QB,CLE,Ten,0.1,00-0033104
422,Nick Foles,QB,PHI,Wsh,0.1,00-0029567
423,Drew Stanton,QB,ARI,LAR,0.1,00-0025430
424,Chase Daniel,QB,NO,GB,0.1,00-0026544
425,EJ Manuel,QB,OAK,KC,0.1,00-0030526
426,Kellen Moore,QB,DAL,SF,0.1,00-0029234
427,Brian Hoyer,QB,SF,Dal,0.1,00-0026625
428,Ryan Fitzpatrick,QB,TB,Buf,0.1,00-0023682
429,Nathan Peterman,QB,BUF,TB,0.1,00-0033958
430,Kellen Clemens,QB,LAC,Den,0.1,00-0024264
431,Austin Davis,QB,SEA,NYG,0.1,00-0028957
432,Geno Smith,QB,NYG,Sea,0.1,00-0030565
433,Chad Henne,QB,JAX,Ind,0.1,00-0026197
434,Paxton Lynch,QB,DEN,LAC,0.1,00-0033108
435,Matt Cassel,QB,TEN,Cle,0.1,00-0023662
436,Sean Mannion,QB,LA,Ari,0.1,00-0032245
437,Colt McCoy,QB,WSH,Phi,0.1,00-0027688
438,Landry Jones,QB,PIT,Cin,0.1,00-0030524
439,Derek Anderson,QB,CAR,Chi,0.1,00-0023645
440,Bryce Petty,QB,NYJ,Mia,0.1,00-0031568
441,Matt Moore,QB,MIA,NYJ,0.1,00-0025708
442,Mike Glennon,QB,CHI,Car,0.1,00-0030520
443,AJ McCarron,QB,CIN,Pit,0.1,00-0031288
444,Ryan Mallett,QB,BAL,Min,0.1,00-0028012
445,Scott Tolzien,QB,IND,Jax,0.1,00-0028595
446,Jeff Janis,WR,GB,NO,0,00-0031001
447,Eli Rogers,WR,PIT,Cin,0,00-0031782
448,Stefon Diggs,WR,MIN,Bal,0,00-0031588
449,Taiwan Jones,RB,BUF,TB,0,00-0028063
450,Sebastian Janikowski,K,OAK,KC,0,00-0019646
451,Mike Vick,QB,PIT,Cin,0,
452,Steve Smith Sr.,WR,BAL,Min,0,
453,Shayne Graham,K,ATL,NE,0,
454,Billy Cundiff,K,CLE,Ten,0,
455,Shaun Hill,QB,MIN,Bal,0,
456,Andre Johnson,WR,TEN,Cle,0,
457,Anquan Boldin,WR,BUF,TB,0,
458,Josh Brown,K,NYG,Sea,0,
459,Tony Romo,QB,DAL,SF,0,
460,Kellen Winslow,TE,NYJ,Mia,0,
